Areas
Area;Time spent in Area (s)
(4,5);6,043186
(3,5);2,501089
(3,4);6,195554
(2,3);4,141668
(1,3);5,045752
(1,2);5,908426
(1,1);2,362499
(2,1);0,2766876
(3,1);2,074455


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,5807711;1,306247;0,7254758;0,4575845
Right;1,58523;2,393453;0,8082234;0,8647602
Left;2,900917;3,782555;0,8816381;0,8468312
Right;4,154064;4,988885;0,8348212;0,9124005
Left;5,217855;6,033858;0,8160028;1,036589
Right;6,079991;6,845816;0,7658253;1,13164
Left;6,87447;7,744633;0,8701634;1,009185
Right;7,823968;8,614767;0,7907991;1,15946
Left;8,578166;9,441633;0,8634672;1,174074
Right;9,441633;10,22754;0,7859087;1,138094
Left;10,2787;11,10105;0,8223495;1,036373
Right;11,27727;11,85883;0,5815573;0,3459651
Right;13,80092;14,12381;0,3228931;0,2807899
Left;14,78114;15,5866;0,8054676;0,6699221
Right;15,74677;16,5322;0,7854233;1,006957
Left;16,58487;17,46163;0,8767605;0,968593
Right;17,62502;18,4374;0,8123894;1,012746
Left;18,52318;19,46504;0,9418659;1,062373
Right;19,56082;20,32181;0,7609959;1,091032
Left;20,38069;21,32682;0,9461327;1,09593
Right;21,42051;22,2245;0,8039875;1,056763
Left;22,29894;23,21112;0,9121723;1,07642
Right;23,34594;24,20793;0,8619862;1,070693
Left;24,31299;25,22252;0,9095306;0,8939047
Right;25,52274;26,36482;0,842083;0,9803473
Left;26,49327;27,25319;0,759922;0,9778935
Right;27,47323;28,54055;1,067312;1,056413
Left;28,61603;29,50183;0,8857937;0,9962808
Right;29,75044;30,72695;0,9765034;0,7462218
Left;31,22156;32,0862;0,8646412;0,7578961
Right;32,34308;33,24508;0,9019966;1,084915
Left;33,28871;33,92334;0,6346321;1,142624
Right;34,12004;35,08126;0,9612236;1,168262
Right;36,23043;36,96275;0,7323112;0,9989612
Left;37,40444;38,2284;0,8239555;1,774043
Right;38,42183;39,22972;0,8078842;0,9098522
Left;39,56242;40,36932;0,8068924;0,8812772
Right;40,76084;41,62225;0,8614044;1,000361
Left;41,67594;42,51411;0,8381767;1,073569
Right;42,59934;43,39353;0,7941856;1,02936
Left;43,46317;44,42496;0,9617844;1,147147


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);1,999999
(3,5);0
(3,4);2,459998
(2,3);0,6799999
(1,3);1,12
(1,2);3,279998
(1,1);0
(2,1);0,24


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
1,73345;(3,4);1,06


