Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
T;PEANUT;129,0414;20,60533;0,15968;1;-1;0,4806299;53.43.33.34.33.34.35;7;18,43449;1;1;37,15857;0
B;PEANUT;156,2599;28,81442;0,1844007;2;0,06240423;0,100186;01.11.12.13.23.33.32.42.43.44;10;15,62599;0;0;0;0
C;ARROW;5,628193;0,09296048;0,01651693;1;-1;1;55;1;5,628193;0;0;0;0
T;ARROW;73,50838;20,39549;0,277458;1;-1;0,3134328;53.43.33.32.33.34.35;7;10,5012;1;1;11,14025;0
C;ARROW;86,25721;24,40361;0,2829167;1;-1;0,5569155;55.45.35.34.23.13.12.11.21.31;10;8,625721;0;0;0;0
T;LIGHT;87,48266;21,94999;0,2509067;1;-1;0,2427275;53.43.33.32.33.34.35;7;12,49752;1;1;18,46146;0
A;LIGHT;73,70901;24,32429;0,3300043;1;-1;0,5247821;16.15.25.24.33.43.42.32.22.21;10;7,370902;0;0;0;0
C;PEANUT;45,93849;24,41659;0,5315061;0;-1;1;55.45.35.34.23.13.12.11.21.31;10;4,593849;0;0;0;0
C;PEANUT;3,934114;0,1577441;0,04009647;1;-1;0;55;1;3,934114;0;0;0;0
C;LIGHT;32,57007;22,20983;0,6819092;0;-1;1;55.45.35.34.23.13.12.11.21.31;10;3,257007;0;0;0;0
