Areas
Area;Time spent in Area (s)
(4,5);1,556107
(4,4);2,021449
(4,3);1,997179
(4,2);2,02713
(4,1);2,29694
(4,2);2,026956
(4,3);2,075258
(4,4);2,095919
(4,5);2,198519


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,621309;1,061013;0,4397044;1,398456
Right;0,9438764;1,619359;0,6754826;1,379703
Left;1,642247;2,201937;0,5596896;1,342182
Right;2,237904;2,797551;0,5596471;1,324592
Left;3,063045;3,377361;0,3143156;1,317798
Right;3,399868;3,889679;0,4898109;1,306753
Left;4,063169;4,515813;0,4526434;1,318592
Right;4,557646;5,075253;0,5176067;1,339957
Left;5,273758;5,667;0,3932424;1,320224
Right;5,679537;6,25099;0,5714526;1,317188
Left;6,385697;6,80725;0,4215531;1,339942
Right;6,700812;7,558752;0,8579392;1,354189
Left;7,547262;7,986504;0,4392419;1,336489
Right;7,905713;8,474324;0,5686111;1,303131
Left;8,682297;9,12387;0,4415731;1,320726
Right;9,075902;9,67359;0,5976877;1,322844
Left;9,776141;10,26535;0,489212;1,253892
Right;10,19604;10,86134;0,665307;1,148852
Left;10,82547;11,39817;0,5726995;0,6974551
Right;11,32154;12,04542;0,7238827;0,5043277
Left;12,08774;12,75067;0,6629267;0,4709962
Right;12,86511;13,40469;0,5395746;1,228995
Left;13,34465;14,02483;0,6801815;1,334948
Right;13,92178;14,61699;0,6952066;1,347215
Left;14,75361;15,19573;0,4421215;1,331523
Right;15,16056;15,71899;0,5584259;1,321579
Left;15,81971;16,36778;0,5480671;1,363182
Right;16,18367;16,86386;0,6801929;1,344563
Left;16,96457;17,46883;0,5042629;1,335997
Left;18,07024;18,67358;0,6033421;1,325366
Left;19,393;19,75421;0,3612041;1,295529
Right;19,7542;20,32297;0,5687714;1,314685
Left;20,42892;20,92725;0,498333;1,303897
Right;20,90182;21,48807;0,586256;1,316131
Left;21,6634;22,13526;0,4718552;1,320242
Right;22,00603;22,65098;0,6449471;1,303528


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


