Areas				
Area	Time spent in Area (s)			
(1,1)	7,083609			
(1,2)	8,005108			
(1,1)	17,42086			
(0,1)	0,09701157			
(1,1)	0			
(1,2)	3,616558			
(1,3)	15,07309			
(2,3)	4,309685			
(3,3)	15,5399			
(3,2)	5,531441			
(3,3)	1,266907			
(3,2)	16,04105			
(4,2)	4,488075			
(4,3)	32,97941			
(5,3)	5,85582			
(4,3)	7,569794			
(4,4)	8,72998			
				
				
Steps				
Foot	Start time (s)	End time (s)	Duration (s)	Length (m)
Right	175,0968	175,7253	0,6284485	0,5184023
Left	175,8037	176,5	0,6962738	0,6092582
Right	176,6638	177,3398	0,6760101	0,4698514
Left	177,4032	178,0271	0,6239319	0,4382573
Right	178,3554	178,8148	0,4593964	0,276213
Left	179,1089	179,7617	0,6527863	0,5025397
Right	180,3946	180,8199	0,4253235	0,2187202
Left	181,1143	181,601	0,4867401	0,3657667
Right	181,6542	182,396	0,7418213	0,7938727
Left	182,3598	183,163	0,8032074	0,9405617
				
				
Landmarks				
Area	Time spent looking at landmarks (s)			
(1,1)	3,359998			
(1,2)	3,039998			
(1,3)	6,719995			
(2,3)	1,339999			
(3,3)	11,22007			
(3,2)	12,5601			
(4,2)	0			
(4,3)	25,06038			
				
				
Errors				
Walked path	Duration (s)	Distance walked (m)		
43.53.43	13,11	0,8467191		
				
				
Pauses				
Duration (s)	Area	Time spent looking at landmarks (s)		
5,618655	(1,1)	2,099999		
6,555858	(1,2)	1,579999		
3,528534	(1,1)	0,16		
19,33177	(1,1)	3,799997		
5,033451	(1,1)	0,7999998		
1,785233	(1,3)	0,5000001		
1,907978	(1,3)	0,9799996		
1,54583	(1,3)	0,4800001		
8,30632	(3,3)	6,599995		
1,763901	(3,2)	0		
1,547577	(3,2)	0,38		
7,270363	(3,2)	6,899994		
15,38937	(4,3)	14,40014		
2,568527	(5,3)	0		
