Areas
Area;Time spent in Area (s)
(4,5);5,821646
(3,5);31,16638
(3,4);3,251804
(2,3);4,57415
(1,3);4,858772
(1,2);6,275433
(1,1);3,913197
(2,1);5,670601
(3,1);3,175636


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,481068;2,124975;0,6439075;0,6536314
Left;2,166202;2,806825;0,6406233;0,6536761
Right;2,861763;3,470614;0,6088512;0,5660105
Left;3,544558;4,200433;0,655875;0,627371
Right;4,419284;4,974475;0,5551906;0,4371259
Left;5,274842;5,806594;0,5317521;0,4187305
Right;6,198183;6,709002;0,5108194;0,3968825
Left;7,192912;7,605302;0,4123898;0,2749805
Right;8,023857;8,505239;0,4813814;0,1831314
Left;34,50366;34,91212;0,4084549;0,1705554
Right;35,30699;35,81994;0,5129509;0,3606351
Left;35,99725;36,59383;0,5965767;0,5710245
Right;36,67903;37,39352;0,714489;0,6410013
Right;38,04259;38,64622;0,6036301;0,5530583
Right;47,43621;47,84819;0,4119797;0,2546819
Right;48,71997;49,45943;0,7394638;0,6579334
Right;53,45129;54,18295;0,7316589;1,665837
Right;55,10548;55,45582;0,3503342;0,1444127
Right;56,82359;57,51813;0,6945419;1,074619
Right;63,15476;63,83036;0,6755981;1,940735
Right;64,84859;65,47231;0,6237183;0,5613183
Right;66,3996;67,08469;0,6850815;0,632262
Right;68,02781;68,79768;0,7698746;0,6469961
Right;69,5695;70,1843;0,6147919;0,3995747
Right;70,90711;71,6821;0,7749863;0,7129969
Right;72,61237;73,31306;0,7006836;0,4830509
Right;74,07966;74,83078;0,7511215;0,6280792


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);12,44009
(3,4);0
(2,3);0
(1,3);0,9399996
(1,2);0
(1,1);1,639999
(2,1);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
25,79817;(3,5);11,96008
3,777298;(1,3);0,9399996
3,894348;(1,2);1,639999


