Areas
Area;Time spent in Area (s)
(1,1);3,183039
(1,2);6,303732
(1,3);6,37923
(2,3);5,099955
(3,3);14,89339
(3,2);6,307972
(4,2);3,185875
(4,3);6,437115
(4,4);8,851658


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;2,517813;3,198055;0,6802416;0,4936188
Right;3,413565;4,116643;0,7030783;0,5500568
Left;4,283907;4,809062;0,5251551;0,4373878
Right;5,250293;5,898069;0,6477757;0,4922475
Left;5,840724;6,666335;0,8256106;0,6898794
Right;6,666335;7,39591;0,7295756;0,7421431
Left;7,406468;8,045274;0,6388059;0,6639773
Right;8,121618;8,786294;0,6646757;0,5813473
Left;8,901049;9,718824;0,8177757;0,6350347
Right;9,742977;10,41286;0,6698809;0,6815243
Left;10,36242;11,09603;0,7336025;0,708663
Right;11,09603;11,77563;0,6796045;0,6890844
Left;11,71788;12,57378;0,8559036;0,6671114
Right;12,72935;13,35203;0,6226768;0,457485
Left;13,49454;14,28848;0,7939386;0,6103353
Right;14,57414;15,20437;0,6302309;0,4767176
Left;15,38219;16,00706;0,6248751;0,5274286
Right;16,17277;17,01021;0,8374348;0,5822134
Left;17,02381;17,78507;0,7612591;0,7056302
Right;17,84148;18,67535;0,8338718;0,6971473
Left;18,60013;19,3787;0,778574;0,7352544
Right;19,34604;20,01908;0,6730347;0,7731495
Left;19,93677;20,65203;0,7152653;0,7402455
Right;20,70555;21,34324;0,6376972;0,6803815
Left;21,40459;22,09732;0,6927319;0,6677059
Right;22,26594;22,96485;0,6989079;0,6270775
Left;22,97548;23,60343;0,6279469;0,63355
Right;23,78871;24,50855;0,719841;0,4745393
Left;24,49846;25,28769;0,7892399;0,6266416
Right;25,25285;26,00647;0,7536278;0,5420519
Left;26,13805;26,77259;0,6345406;0,5527376
Left;28,44931;28,88969;0,440382;0,2241788
Right;29,04781;29,48729;0,4394798;0,1445301
Left;29,94548;30,30216;0,3566856;0,1813672
Right;31,59771;32,03671;0,4390049;0,2296806
Right;35,10765;35,66677;0,5591202;0,260068
Left;35,94986;36,70731;0,7574463;0,582253
Right;36,73962;37,4243;0,6846809;0,6800348
Left;37,76209;38,52966;0,7675667;0,6405978
Right;38,60278;39,20659;0,6038055;0,5905823
Left;40,06392;40,75;0,6860771;0,499721
Right;40,8248;41,5817;0,7569008;0,7465978
Left;41,74611;42,30839;0,5622826;0,3509422
Right;42,43324;43,03891;0,6056709;0,4421386
Left;43,16866;43,98227;0,8136063;0,6960058
Right;44,00626;44,69418;0,6879272;0,7799522
Left;44,70628;45,50034;0,7940598;0,6569054
Right;45,50035;46,17683;0,6764755;0,720231
Left;46,17683;46,88969;0,7128677;0,635685
Right;46,88969;47,59304;0,7033424;0,7064623
Left;47,69036;48,45142;0,761055;0,5870633
Right;48,46705;49,18505;0,7179985;0,6870275
Left;49,35092;50,00669;0,6557693;0,6835603
Right;50,15597;50,87421;0,7182426;0,4623968
Left;51,4077;51,99148;0,583786;0,4736957
Right;52,1378;52,91399;0,7761955;0,7247796
Left;52,88943;53,53198;0,6425438;0,6843938
Right;53,59044;54,43252;0,842083;0,6918316
Left;54,5132;55,32863;0,8154335;0,7357531
Right;55,40639;56,15708;0,7506866;0,7390602
Left;56,10705;56,922;0,8149529;0,7530089
Right;57,01206;57,72564;0,7135773;0,6989179
Left;57,93541;58,62598;0,6905632;0,5971646
Right;59,41681;59,97115;0,5543365;0,2878834
Left;60,14579;60,80944;0,6636543;0,5671139
Right;61,35794;62,02365;0,6657066;0,459483
Left;62,17028;62,85617;0,6858864;0,6775613
Right;62,96679;63,72946;0,7626648;0,7756722


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);0,38
(1,2);0,8999997
(1,3);1,859999
(2,3);0,7399998
(3,3);9,420026
(3,2);0,28
(4,2);0
(4,3);0,4


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,285473;(3,3);1,679999


