Areas
Area;Time spent in Area (s)
(1,5);2,513937
(2,5);3,239077
(2,4);4,383103
(3,3);3,377926
(4,3);2,201054
(4,2);1,393627
(3,2);3,356813
(2,2);2,816628
(2,1);3,300138


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,583676;1,210676;0,6269997;0,7114403
Left;1,220303;1,963239;0,7429361;0,955611
Right;2,043322;2,76335;0,7200274;1,012994
Left;2,76335;3,489683;0,7263339;0,9247757
Right;3,582079;4,365569;0,7834904;0,7410223
Left;4,47472;5,319752;0,8450322;0,9283536
Right;5,285936;6,032933;0,7469969;0,9064757
Left;6,022433;6,804758;0,7823248;0,9367102
Right;6,804757;7,558335;0,7535777;0,912374
Left;7,626277;8,416;0,7897229;0,9403161
Right;8,435942;9,152105;0,7161636;0,9759919
Left;9,16236;9,921527;0,7591667;0,9834726
Right;9,896482;10,64798;0,7514973;1,059445
Left;10,687;11,41322;0,7262135;1,003543
Right;11,38124;12,1485;0,7672586;1,046178
Left;12,10429;12,83676;0,7324734;1,014632
Right;12,82652;13,51081;0,6842966;1,050086
Left;13,49775;14,2164;0,718647;1,106968
Right;14,1463;14,86883;0,7225304;1,133697
Left;14,87945;15,60732;0,7278643;1,080738
Right;15,5965;16,3501;0,7535963;0,9842046
Left;16,28551;17,06734;0,7818336;1,049469
Right;17,02923;17,759;0,7297611;0,978184
Left;17,72369;18,44189;0,7182045;1,050657
Right;18,41896;19,19098;0,7720261;0,9473095
Left;19,1405;19,89306;0,7525558;0,9504244
Right;19,84453;20,61314;0,76861;0,9150194
Left;20,5673;21,37436;0,8070564;1,091354
Right;21,34791;22,1653;0,8173904;1,03056
Left;22,10513;22,81109;0,7059574;1,058159
Right;22,72605;23,46843;0,7423744;1,078892
Left;23,44593;24,17927;0,7333393;1,015648
Right;24,10248;24,81847;0,7159824;1,017448
Left;24,87023;25,51785;0,6476192;0,9027528
Right;25,4674;26,14658;0,6791763;1,129795
Left;26,18093;26,88381;0,7028828;1,032123
Right;26,86918;27,55596;0,6867847;1,093358
Left;27,53084;28,305;0,7741623;1,132215
Right;28,20074;28,93802;0,7372837;1,100163


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0,36
(2,5);0
(2,4);1,04
(3,3);0
(4,3);0,36
(4,2);0
(3,2);0
(2,2);0,54


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


