Areas
Area;Time spent in Area (s)
(4,5);2,115254
(4,4);2,444642
(4,3);2,22966
(4,2);2,520165
(4,1);4,08261
(4,2);2,458813
(4,3);2,570984
(4,4);2,559126
(4,5);2,200544


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;1,246833;2,021169;0,7743361;1,138962
Left;2,519981;3,229965;0,7099848;1,167685
Right;3,054309;3,845891;0,7915826;1,144045
Left;3,716009;4,493956;0,7779462;1,156233
Left;4,939766;5,664963;0,7251964;1,180551
Left;6,022481;6,826303;0,803822;1,169047
Left;7,316143;8,049414;0,7332711;1,18622
Left;8,547262;9,329829;0,782567;1,155825
Left;9,823166;10,52442;0,7012501;1,10473
Left;11,09449;11,75896;0,6644669;1,06533
Left;13,02006;13,54771;0,5276508;0,9236706
Right;16,20322;16,97908;0,7758636;0,4709348
Left;16,74599;17,58613;0,8401375;1,440399
Right;17,20995;18,12583;0,9158783;1,128212
Left;17,94928;18,71965;0,7703724;1,148268
Right;18,60969;19,39957;0,7898788;1,157034
Left;19,17778;19,91221;0,7344284;1,157683
Right;19,74363;20,58733;0,8437061;1,155484
Left;20,38216;21,14115;0,7589893;1,138081
Right;20,98596;21,76052;0,7745552;1,146598
Left;21,55526;22,332;0,7767353;1,142191
Right;22,23784;22,95903;0,7211838;1,121456
Left;22,82067;23,63884;0,818161;1,125915
Right;23,45189;24,17879;0,7269001;1,092567
Left;24,02916;24,74964;0,7204742;1,092066
Right;24,68059;25,43294;0,7523479;1,124659
Left;25,26816;25,99143;0,7232704;1,138069
Right;25,90376;26,64482;0,7410641;1,13816
Left;26,49235;27,25586;0,7635117;1,127709
Right;27,1214;27,81318;0,691782;1,119769


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,449393;(4,1);0


