Areas
Area;Time spent in Area (s)
(4,5);3,873965
(3,5);2,312686
(3,4);5,423902
(2,3);3,364837
(1,3);3,131559
(1,2);5,275557
(1,1);1,961214
(2,1);3,872044
(3,1);1,680573


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,9639529;1,431868;0,4679149;0,3933811
Left;1,491823;2,343068;0,8512453;0,7624657
Right;2,31712;3,035185;0,718065;0,8887676
Left;3,116738;3,938851;0,822113;0,8756321
Right;3,95793;4,59095;0,6330202;0,9830472
Left;4,605923;5,305561;0,6996374;1,006841
Right;5,315585;6,143155;0,8275695;1,018934
Left;6,235553;6,947234;0,7116814;0,9350027
Right;6,936767;7,679508;0,7427416;1,03909
Left;7,74437;8,42907;0,6847005;0,9387627
Right;8,461367;9,123708;0,6623411;0,7659297
Left;9,222222;9,898568;0,6763458;0,7603735
Right;9,898566;10,38345;0,4848862;0,4232806
Right;10,76264;11,20114;0,4384956;0,2763472
Left;11,22532;12,01098;0,7856627;0,8395665
Right;11,99925;12,71082;0,7115755;0,9129257
Left;12,75703;13,44624;0,6892128;0,963782
Right;13,42304;14,16257;0,7395277;0,9829767
Left;14,16257;14,86265;0,7000837;0,9951215
Right;14,83016;15,52007;0,6899052;0,9877638
Left;15,57602;16,27158;0,6955557;1,03196
Right;16,23581;16,97184;0,7360287;0,9683933
Left;17,00367;17,73478;0,7311096;0,9208196
Right;17,7549;18,46816;0,7132626;1,013689
Left;18,46816;19,20915;0,7409897;0,9185625
Right;19,3177;19,95106;0,633358;0,9832124
Left;20,0181;20,82372;0,8056202;0,9017686
Right;20,88645;21,48991;0,6034641;0,7088506
Left;21,56821;22,07232;0,5041008;0,418358
Right;22,64045;23,07134;0,4308891;0,3129793
Left;23,14327;23,72129;0,5780201;0,5343361
Right;23,57891;24,51784;0,9389248;0,8733013
Left;24,53868;25,24991;0,7112293;0,944312
Right;25,23874;25,97355;0,7348175;1,057854
Left;26,06126;26,72703;0,6657715;0,9626948
Right;26,75982;27,40217;0,6423531;0,9865586
Left;27,43861;28,21212;0,7735043;0,8791406
Right;28,09995;28,86126;0,7613125;0,9775253
Left;28,88906;29,52008;0,6310253;0,6570687
Right;29,53636;30,1463;0,6099396;0,7295893
Left;30,18451;30,95613;0,7716217;1,016635
Right;30,94324;31,62079;0,6775436;0,9679533
Left;31,72318;32,3395;0,6163177;0,8216866
Right;32,40399;32,96804;0,5640564;0,7861063
Left;32,95641;33,70944;0,7530327;1,079717


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);1,859999
(3,4);0
(2,3);0
(1,3);1,359999
(1,2);1,02
(1,1);0,9399996
(2,1);0,6


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


