Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
T;LIGHT;233,7006;34,64641;0,1482513;1;-1;0,2780762;53.43.33.34.33.32.33.43;8;29,21257;2;3;-225,7643;2,718892
T;LIGHT;23,37906;5,589011;0,2390606;1;-1;0,4202303;53.54;2;11,68953;1;1;-10,7381;0
T;LIGHT;24,49627;8,82071;0,3600837;1;-1;0;53.43.44.54.55;5;4,899255;1;3;-15,17465;3,649719
T;LIGHT;42,96097;8,848527;0,2059666;1;-1;0,1959254;53.54.55;3;14,32032;1;2;-27,65405;2,946617
T;LIGHT;18,99221;5,868238;0,3089813;1;-1;0,06586271;53.54.55;3;6,330737;1;2;-8,436682;2,925038
T;LIGHT;21,14343;4,697049;0,2221516;1;-1;0;53.54;2;10,57172;1;1;-7,190814;0
T;LIGHT;29,24001;7,632463;0,2610281;1;-1;0,6199005;53.43.53.43.53.43.53.54;8;3,655001;3;4;-16,83104;0,625358
T;LIGHT;93,95684;19,14258;0,203738;1;-1;0,1849735;53.43.53.43.33.34.35;7;13,42241;1;1;50,63137;0
C;LIGHT;82,01342;17,31197;0,211087;1;-1;0,2780899;55.45.55.45.34.44.54;7;11,7162;2;4;-19,21735;4,070718
C;LIGHT;58,74815;5,835146;0,09932476;0;-1;1;55.45.55;3;19,58272;1;1;-13,02684;0
C;LIGHT;10,83648;2,352338;0,2170759;0;-1;1;55.54.55.54;4;2,70912;2;2;-5,336398;0
C;LIGHT;88,99699;23,32582;0,2620968;4;-4;0,4635545;55.45.35.34.23.13.12.11.21.31;10;8,899698;0;0;0;0
T;PEANUT;32,79347;6,765228;0,206298;0;-1;1;53.33;2;16,39674;1;1;-2,609703;0
T;PEANUT;18,34319;11,47386;0,6255106;0;-1;1;53.43.33.34.35;5;3,668637;0;0;0;0
T;PEANUT;71,02944;12,74931;0,1794932;2;0,03257757;0,4962364;53.43.33.34.35;5;14,20589;0;0;0;0
A;PEANUT;67,83642;24,48269;0,3609077;10;-10;0,3280576;16.15.25.24.33.43.42.32.22.21;10;6,783642;0;0;0;0
T;ARROW;38,29029;4,079034;0,1065292;1;-1;0,242949;53.43.53.43;4;9,572573;1;1;8,872702;0
T;ARROW;30,86766;10,59761;0,343324;1;-1;0,7007204;53.43.33.34.35;5;6,173532;0;0;0;0
