Areas
Area;Time spent in Area (s)
(1,5);4,758576
(2,5);3,859355
(2,4);3,555967
(3,3);6,415503
(4,3);4,915747
(4,2);1,758842
(3,2);4,150167
(2,2);3,763824
(2,1);8,202534


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,5869437;1,140673;0,5537292;0,2841393
Left;1,639941;2,484151;0,8442099;0,8225754
Right;2,661392;3,561354;0,8999615;0,9721887
Left;3,71829;4,546559;0,8282692;0,8788615
Right;4,787009;5,689447;0,9024382;0,9163356
Left;5,882965;6,605046;0,7220812;0,8836746
Right;7,304622;8,230441;0,9258189;0,7700807
Left;8,40475;9,078318;0,6735678;0,9406474
Right;9,305971;10,0183;0,712327;1,034225
Left;10,06596;10,88822;0,8222599;1,189343
Right;10,88822;11,67334;0,7851219;1,187392
Left;11,73776;12,51716;0,779398;1,141197
Right;12,59851;13,40739;0,8088741;1,098846
Left;13,48533;14,33992;0,8545866;1,028472
Right;14,42609;15,19446;0,7683687;0,9755757
Left;15,32588;15,76107;0,4351931;0,3517057
Left;16,88488;17,6265;0,7416229;0,6498254
Right;17,6265;18,45558;0,8290749;1,108762
Left;18,5605;19,27944;0,7189331;0,7398149
Right;20,34247;21,09353;0,7510567;0,7689119
Left;21,11572;21,85262;0,7369022;1,057592
Right;21,8889;22,70396;0,8150539;0,9717313
Left;22,86898;23,66857;0,7995892;0,811784
Right;24,22138;24,69548;0,4740982;0,4954585
Left;25,02839;25,85944;0,8310547;0,9543068
Right;25,82214;26,68999;0,867857;1,138086
Left;26,72663;27,61716;0,8905258;1,126264
Right;27,64462;28,54244;0,8978176;0,9822512
Left;28,66969;29,42371;0,7540169;1,200176
Right;29,40599;30,20881;0,802824;1,159453
Left;30,33844;31,14443;0,8059902;1,063909
Right;31,28715;32,18439;0,8972397;0,9831097
Left;32,36623;33,17895;0,8127174;1,089464
Right;33,15332;33,95216;0,7988434;1,205269
Left;34,20613;34,88095;0,6748276;0,9558005
Right;35,2728;36,00133;0,7285347;0,9840842
Left;36,18995;37,10563;0,9156876;0,9739531
Right;37,10563;37,89218;0,7865486;1,046617
Left;37,98772;38,82825;0,8405304;0,9071063
Right;39,09694;39,9327;0,8357658;0,9101089
Left;40,16973;41,02629;0,8565598;0,7715091
Right;42,05217;42,5789;0,5267334;0,2541813
Right;43,98631;44,69262;0,7063103;0,4846537
Left;44,82541;45,77502;0,9496117;0,9849296


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0,8199998
(2,5);0,6399999
(2,4);0
(3,3);1,299999
(4,3);1,899999
(4,2);0
(3,2);0,6999999
(2,2);1,199999


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


