Areas
Area;Time spent in Area (s)
(1,5);2,617273
(2,5);3,215208
(2,4);4,262707
(3,3);4,154219
(4,3);3,7425
(4,2);2,608822
(3,2);4,819538
(2,2);2,957373
(2,1);4,649628


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,5784106;1,167392;0,5889817;0,432408
Right;1,031921;1,791582;0,759661;0,8199115
Left;1,721078;2,454921;0,7338434;0,7859371
Right;2,442884;3,116177;0,6732926;0,6869069
Left;3,218962;4,059584;0,8406215;0,6396083
Right;4,031689;4,671806;0,6401172;0,6315297
Left;4,662162;5,515149;0,8529868;0,7773398
Right;5,455579;6,137072;0,6814928;0,7107124
Left;6,206194;6,864864;0,6586699;0,714138
Right;6,827552;7,567682;0,7401304;0,7525951
Left;7,466995;8,2049;0,7379045;0,7189003
Right;8,105879;8,872643;0,7667646;0,7761616
Left;8,749524;9,521326;0,7718019;0,868782
Right;9,443579;10,17898;0,7353964;0,897673
Left;10,06805;10,84106;0,7730093;0,7969365
Right;10,72421;11,48194;0,7577257;0,7754062
Left;11,35152;12,04837;0,6968527;0,725273
Right;11,9413;12,68566;0,7443647;0,8402084
Left;12,57197;13,31379;0,7418222;0,8458453
Right;13,26332;13,98559;0,7222681;0,8378444
Left;13,90473;14,63659;0,7318516;0,8282277
Right;14,52714;15,25787;0,7307291;0,8558961
Left;15,17417;15,88519;0,7110252;0,8312955
Right;15,82846;16,56793;0,7394686;0,7796025
Left;16,46259;17,18986;0,7272682;0,8128631
Right;17,16558;17,84916;0,6835766;0,7115474
Left;17,74636;18,58397;0,8376064;0,7727358
Right;18,62257;19,19449;0,5719147;0,564293
Left;19,16932;19,82968;0,6603622;0,5672528
Right;20,1309;20,73235;0,6014576;0,4658176
Left;20,92018;21,60711;0,6869335;0,5049666
Right;21,94641;22,8482;0,9017906;0,3754163
Left;22,90164;23,70042;0,7987785;0,6652042
Right;23,62091;24,30605;0,6851311;0,7373534
Left;24,30605;25,08813;0,7820835;0,8083271
Right;25,00172;25,75733;0,7556038;0,8267159
Left;25,62056;26,39263;0,7720718;0,8168029
Right;26,3225;26,93776;0,6152554;0,7165136
Left;26,86358;27,46282;0,5992393;0,4347229
Right;27,5091;28,13883;0,6297264;0,4596587
Left;28,15327;28,82949;0,6762161;0,6231194
Right;28,84145;29,6206;0,7791557;0,7619264
Left;29,56863;30,27884;0,7102089;0,8398385
Right;30,18216;30,97207;0,7899036;0,8900018
Left;30,90298;31,62545;0,7224655;0,8026684
Right;31,57237;32,31554;0,7431698;0,8394814
Left;32,28888;32,9918;0,7029228;0,7600479
Right;32,89927;33,65346;0,7541924;0,8044864
Left;33,57352;34,3233;0,7497826;0,7423049
Right;34,29661;34,9653;0,6686935;0,7155845
Left;34,92432;35,59394;0,6696167;0,6890364
Right;35,63929;36,38859;0,7492943;0,7708815
Left;36,36358;37,15229;0,7887115;0,8136238


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0
(2,5);0
(2,4);0
(3,3);0
(4,3);3,739997
(4,2);0,28
(3,2);1,159999
(2,2);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


