Advice;Path;Path succeeded (0=no, 1=yes);Trial time (s);Distance travelled (m);Walked path;Number of travelled areas;Mean time in area (s);Number of errors;Number of areas travelled by error;Time spent in error (s);Distance travelled in error (m);Step count;Step length (m);Walk speed (m/s);Step frequency (/s);Proportion of time left foot was in front (%);Step length asymmetry index (%);Step length ratio;Number of pauses;Mean pause duration (s);Total pause duration (s);Mean time spent looking at landmarks (s);Total time spent looking at landmarks (s);Total time spent looking at landmarks during pauses (s)
;BASELINE;1;22,32203;21,83103;45.44.43.42.41.42.43.44.45;9;2,480225;0;0;0;0;16;1,394942;0,9784515;0,9054843;48,04401;13,12211;0,8768583;0;0;0;0;0;0
ARROW;C;1;32,18011;20,3175;45.35.34.23.13.12.11.21.31;9;3,575568;0;0;0;0;42;1,028508;0,6314886;1,360506;37,34291;17,80569;0,8364993;0;0;0;0,7499995;5,999996;0
LIGHT;B;1;31,81319;20,32233;11.12.13.23.33.32.42.43.44;9;3,534799;0;0;0;0;44;0,9401191;0,6389573;1,484145;54,97132;1,64155;0,9837182;0;0;0;0,4824998;3,859998;0
COMPANION;A;1;68,76495;37,66087;15.25.35.45.35.25.15.25.24.33.43.42.32.22.21;15;4,58433;2;3;28,10763;3,498919;76;0,8618721;0,5477285;1,118672;43,51099;15,74226;0,8540642;2;3,859774;7,719547;1,342499;10,73999;0,22
