Areas
Area;Time spent in Area (s)
(4,5);16,27929
(3,5);19,46727
(3,4);6,518139
(2,3);0,04099274
(1,3);16,3362
(1,2);20,59576
(1,1);9,757599
(2,1);14,729
(3,1);11,56718


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,6117888;1,302743;0,6909541;0,7041572
Left;1,619452;2,221838;0,6023853;0,8098104
Right;2,681407;3,071792;0,3903847;0,9480997
Left;3,003022;3,563109;0,5600867;0,711989
Left;13,04236;13,49928;0,456912;0,1818334
Right;14,72217;15,11766;0,3954849;0,2771558
Left;15,8065;16,56967;0,7631721;0,5525475
Right;16,96334;17,54148;0,5781345;0,6547455
Left;18,16462;18,91678;0,7521591;0,5635781
Right;20,11767;20,52583;0,408165;0,4637308
Left;21,80313;22,28323;0,4800911;0,1603971
Left;26,33943;26,83263;0,4931965;0,2730383
Right;28,46261;28,97435;0,5117416;0,4718686
Left;29,91845;30,56866;0,6502132;0,305187
Right;31,87851;32,38046;0,5019531;0,4207376
Left;33,76124;34,37989;0,6186523;0,3937488
Right;35,36049;36,00159;0,641098;0,4727354
Left;36,96344;37,57776;0,6143188;0,4233505
Right;38,51619;39,26263;0,7464447;0,3726279
Right;42,7476;43,39958;0,6519852;0,4597716
Left;44,66487;45,47074;0,8058662;0,8581525
Right;47,44813;48,18779;0,7396622;0,3934994
Left;49,50076;50,14151;0,6407547;0,3566675
Right;51,26163;51,96513;0,7034988;0,3622622
Left;53,14793;53,80962;0,6616898;0,4405279
Right;56,49106;57,20486;0,7137947;0,4761233
Left;58,35399;58,82325;0,4692612;0,5034187
Right;59,90145;60,56446;0,6630058;0,5257049
Left;61,64633;62,11966;0,4733315;0,4860393
Right;63,00629;63,50632;0,5000343;0,4509406
Left;64,5088;65,11685;0,6080551;0,4669615
Right;65,93269;66,43491;0,5022125;0,5035465
Left;67,45292;68,03514;0,582222;0,5939859
Right;68,72083;69,45657;0,7357483;0,5591822
Left;69,97682;70,73521;0,7583923;0,5483959
Right;71,62132;72,40564;0,7843246;0,5531304
Left;73,09295;74,0054;0,9124527;0,5920439
Right;74,9746;75,40464;0,4300385;0,4912554
Left;75,88791;76,80168;0,9137726;0,5384601
Right;77,34749;77,85674;0,5092468;0,5077035
Left;78,49804;79,22994;0,7319031;0,5046563
Right;80,19656;80,71702;0,520462;0,5671117
Left;81,48404;82,26627;0,7822266;0,5144842
Right;83,12808;83,69989;0,5718079;0,4117254
Left;86,85822;87,12454;0,2663269;0,1869644
Left;87,74028;88,31995;0,5796661;0,1650016
Right;89,11674;89,93889;0,8221512;0,5307493
Left;91,34039;92,01013;0,6697388;0,4115039
Right;92,72718;93,41985;0,6926651;0,4953957
Left;94,43786;95,14391;0,7060547;0,4382505
Right;96,72004;97,23373;0,5136871;0,4153632
Left;98,13958;98,77802;0,6384354;0,5175029
Right;100,4378;100,7605;0,3227386;0,4724142
Right;104,39;105,1243;0,7343445;0,3901915
Left;106,5363;107,0602;0,5238113;0,7067974
Left;111,3496;111,9648;0,615181;0,3634459
Left;114,9488;115,7079;0,7591171;0,537764
Left;117,463;118,1999;0,7368774;0,5481186
Right;118,8416;119,476;0,6344376;0,4914078
Left;120,3318;121,1006;0,7687683;0,4800394
Right;122,5128;123,0319;0,519165;0,4981204
Left;124,054;124,6193;0,5653534;0,4178262
Left;126,3943;127,0465;0,6522217;0,3888298
Left;129,8336;130,4664;0,6327667;0,4498674
Right;135,1063;135,2184;0,1121216;0,2178012
Left;136,434;136,6766;0,2426147;0,1966658
Left;138,8712;139,3822;0,5109406;0,4995013
Left;142,3939;143,0215;0,6276398;0,4283345
Left;150,7272;151,215;0,487793;0,4989231
Right;151,4782;152,1613;0,6831665;0,4252221
Left;152,8994;153,275;0,3756104;0,6684173
Right;153,6353;154,3097;0,674408;0,4373969
Left;156,8192;157,4374;0,6182098;0,6831535


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);8,500005
(3,5);9,940038
(3,4);3,859997
(2,3);0
(1,3);5,519996
(1,2);11,54007
(1,1);4,739996
(2,1);7,739994


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
6,420976;(4,5);5,839995
3,855938;(3,5);2,679998
3,274796;(3,5);0
1,762913;(3,5);0,06
2,478462;(3,4);1,06
2,950966;(1,3);1,359999
3,053017;(1,2);3,059998
3,071785;(1,2);3,079998
2,428528;(1,2);1,499999
1,570465;(1,1);0
2,583389;(1,1);0
2,305298;(2,1);1,679999
1,639801;(2,1);0
2,550888;(2,1);1,04
4,314987;(2,1);0
2,298996;(3,1);0


