Areas
Area;Time spent in Area (s)
(4,5);3,941457
(3,5);4,654222
(3,4);2,887941
(2,3);3,918583
(1,3);3,81354
(1,2);5,470808
(1,1);2,643841
(2,1);4,098206
(3,1);2,573704


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,061698;1,892101;0,8304031;0,9271665
Left;2,100644;2,726741;0,626097;0,8965409
Right;2,678923;3,368564;0,689641;0,9126123
Left;3,29364;4,081637;0,787997;0,8954304
Right;3,962397;4,759476;0,7970786;0,9878001
Left;4,626441;5,444105;0,8176646;0,8421954
Right;5,444106;6,107984;0,6638784;0,8007134
Left;6,394078;7,181684;0,7876053;0,7665211
Right;7,181683;7,933787;0,7521043;0,8962809
Left;8,339783;8,718843;0,3790598;0,9355065
Right;8,643332;9,461914;0,8185816;0,9890791
Right;10,15007;10,90438;0,754303;0,9109604
Left;10,60776;11,92526;1,317501;0,8750663
Right;11,74094;12,39689;0,6559496;0,8215505
Left;12,44431;12,9876;0,5432911;0,7178196
Right;13,13885;13,98542;0,84657;0,8530794
Right;14,5203;15,32727;0,8069696;1,001041
Left;15,31736;16,13083;0,8134699;0,8913953
Right;16,16521;17,02623;0,8610153;0,8983234
Left;17,46148;17,97397;0,5124874;0,9580709
Right;17,82832;18,73693;0,9086094;0,9653745
Left;18,68749;19,63033;0,9428368;0,855919
Right;19,52867;20,36125;0,8325787;0,893891
Left;20,21616;21,08859;0,8724308;0,806497
Right;21,13612;21,96925;0,8331318;0,8504389
Right;22,72538;23,57806;0,8526821;0,8593983
Right;24,43772;25,37382;0,9361038;0,8953722
Right;26,18886;26,97049;0,7816334;0,8720207
Right;27,83137;28,68076;0,8493862;0,8949544
Right;29,2876;30,21911;0,9315147;0,9667894
Left;29,95278;30,83951;0,8867283;1,195253
Right;30,91328;31,639;0,7257271;0,9537773
Left;31,80518;32,42907;0,6238899;0,9009845
Right;32,36596;33,23788;0,8719292;0,8649787
Left;33,22407;33,58544;0,3613663;0,896563
Right;33,9897;34,57024;0,5805435;0,852929
Left;34,52021;34,91431;0,3941078;0,2548461
Right;35,26139;36,16331;0,9019203;0,8817656
Left;35,92672;36,91854;0,9918213;0,801906


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);0
(3,4);0
(2,3);0
(1,3);0
(1,2);0
(1,1);0
(2,1);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


