Areas
Area;Time spent in Area (s)
(1,1);4,496255
(1,2);11,87993
(1,3);7,370573
(2,3);18,08355
(3,3);3,256344
(3,2);0,1500587
(4,2);5,819313
(4,3);15,42428
(4,4);0,9434128


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,741808;2,526249;0,7844414;0,6619591
Left;2,734621;3,241895;0,5072742;0,219345
Left;7,389504;7,86238;0,4728756;0,3411784
Right;8,331564;9,050981;0,7194166;0,5936877
Left;9,178909;9,912048;0,733139;0,7156513
Right;9,898976;10,73635;0,8373747;0,8177246
Left;10,76172;11,50948;0,747757;0,6748914
Right;11,66429;12,32685;0,6625643;0,5357568
Left;12,49376;13,23934;0,7455759;0,5883347
Right;13,36623;13,97507;0,6088476;0,4563732
Left;14,42173;14,83482;0,4130869;0,1705003
Left;15,19475;15,66703;0,4722834;0,1613494
Left;19,5095;20,00916;0,4996548;0,3469605
Right;20,29462;21,10435;0,8097267;0,5838085
Left;21,07645;21,71946;0,6430054;0,7821347
Right;21,71946;22,54569;0,8262291;0,7097118
Left;22,51169;23,16439;0,6526985;0,8156378
Right;23,29497;24,00458;0,7096176;0,5614443
Left;24,22263;24,78301;0,5603809;0,4635579
Right;25,80147;26,15377;0,3523006;0,1417631
Left;27,80201;28,34441;0,5423965;0,3147985
Right;28,49082;29,32613;0,8353119;0,7335511
Left;29,34363;30,04586;0,7022362;0,7857403
Right;30,14434;31,10672;0,9623852;0,7637755
Left;31,3011;32,03021;0,7291107;0,8040911
Right;32,01751;32,86944;0,8519249;0,7516329
Left;32,86943;33,44503;0,575592;0,6321854
Right;33,64092;34,05959;0,4186745;0,1716208
Left;46,31473;46,88367;0,568943;0,4609677
Right;47,17231;47,4105;0,2381859;0,6813594
Left;47,60984;48,33086;0,7210159;0,8535076
Right;48,39105;49,13596;0,7449112;0,7093842
Left;49,17882;49,95859;0,7797699;0,7720149
Right;49,9586;50,60244;0,6438484;0,5249856
Left;50,98885;51,49466;0,5058098;0,3164262
Right;51,85674;52,42691;0,5701714;0,36346
Left;52,66283;53,45838;0,7955551;0,5134864
Right;53,6198;54,46526;0,845459;0,6541703
Left;54,81277;55,43432;0,6215515;0,3942865
Right;55,66748;56,18703;0,5195541;0,2860965
Left;58,42936;58,95462;0,5252571;0,2675294
Right;59,08877;59,67393;0,5851593;0,4795159
Left;60,33038;60,90863;0,5782509;0,3560502
Right;61,15208;61,80036;0,6482811;0,4600762
Left;62,09549;62,89088;0,7953949;0,7030261
Right;63,02195;63,89218;0,8702316;0,8276861
Left;64,11404;64,91081;0,7967682;0,7451426
Right;65,14761;65,96461;0,8170013;0,7086757
Left;66,23905;67,03433;0,7952805;0,6051613
Right;67,12537;67,74834;0,6229706;0,3624059
Left;69,55597;70,13135;0,5753784;0,300443
Right;70,26232;70,92679;0,6644669;0,5589746
Left;72,04806;72,93334;0,8852844;0,5405995
Right;72,9881;73,72407;0,7359695;0,6697155
Left;73,91762;74,59331;0,6756897;0,518512
Right;74,80202;75,4052;0,6031799;0,2381202
Left;81,71218;82,23186;0,5196762;0,4053497
Right;82,4397;83,17112;0,7314224;0,4564027
Left;83,40742;84,08053;0,673111;0,5879161
Right;84,14194;84,89089;0,7489471;0,7395793
Left;85,09093;85,70802;0,6170807;0,4995827


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);3,119998
(1,2);4,299997
(1,3);3,899997
(2,3);13,06011
(3,3);2,879998
(3,2);0,06
(4,2);2,799998
(4,3);11,68008


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,235776;(1,1);1,1
3,640858;(1,2);0,9799996
10,64776;(2,3);8,380002
2,010887;(3,2);0,8999997
1,600731;(4,2);0,32
5,456665;(4,3);4,779996


