Areas
Area;Time spent in Area (s)
(1,5);10,67906
(2,5);17,32487
(2,4);0,5792789
(3,3);0,1158371
(4,3);0,0206604
(4,2);7,757095
(3,2);14,40031
(2,2);14,72803
(2,1);10,56215


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,5763581;1,119482;0,5431238;0,3312171
Right;1,599779;2,705549;1,10577;0,5646061
Left;2,73993;3,524348;0,7844186;0,6379437
Right;3,915413;4,679679;0,7642667;0,6534345
Left;5,242355;5,655201;0,4128466;0,4106482
Right;6,75983;7,383628;0,6237974;0,3277767
Left;9,235347;9,436987;0,2016401;0,1680529
Right;10,31746;11,14528;0,8278275;0,2437922
Right;12,4798;12,83083;0,3510303;0,1718648
Left;13,60094;14,14375;0,5428133;0,4675199
Right;15,18192;15,971;0,7890816;0,5450223
Right;17,4215;17,92719;0,5056915;0,302495
Left;22,34032;22,64564;0,3053207;0,4459977
Right;23,42079;24,14906;0,7282639;0,412872
Left;24,92467;25,31492;0,3902512;0,3857034
Right;26,63878;27,18783;0,5490551;0,2611217
Left;27,64079;28,06958;0,4287891;0,17282
Right;32,64187;33,3429;0,7010269;0,7728646
Right;35,67818;36,60732;0,9291382;0,5491043
Right;39,10681;39,70576;0,5989571;0,4694957
Right;42,00239;42,69515;0,6927605;0,4768844
Right;48,60736;49,30171;0,6943512;0,7613465
Right;51,48378;52,17903;0,6952515;0,5016845
Right;53,94457;54,65579;0,7112198;0,4812374
Right;56,96206;57,69252;0,7304611;0,453822
Right;59,88696;60,53865;0,6516876;0,3781588
Right;62,94405;63,59246;0,648407;0,4555203
Right;71,85452;72,60768;0,7531586;0,6601678
Right;76,10629;76,5801;0,4738159;0,3945893
Right;78,97466;79,62259;0,6479263;0,363441
Left;90,16965;91,00367;0,8340149;0,4494665
Left;95,29097;95,72852;0,4375458;0,3717467
Right;95,96835;96,44576;0,4774017;0,3605826
Left;99,98812;100,8124;0,824295;0,5268852
Right;101,0972;101,794;0,6968384;0,5625063
Left;102,0948;102,5184;0,4236679;0,3147588
Left;106,3649;106,802;0,4370651;0,1843801
Right;107,3422;107,9339;0,5916824;0,8718594
Right;109,2978;110,1872;0,8894424;0,7561064
Left;112,8013;113,3551;0,5538177;0,6681024
Right;113,7856;114,4986;0,7129135;0,4831201
Left;115,2227;115,9947;0,7719727;0,5225453
Right;117,184;117,8572;0,6731949;0,450956
Left;118,4483;119,2755;0,8271637;0,5521403
Right;119,649;120,495;0,8460312;0,6334718
Left;120,8765;121,7429;0,866394;0,5956829
Right;122,1656;122,647;0,4814377;0,4900119
Left;123,2259;123,8865;0,6606598;0,6581048
Right;124,2746;125,0466;0,7719345;0,5744706
Left;125,6396;126,2152;0,575592;0,5268221
Right;127,0743;127,8475;0,7732086;0,4417953
Left;128,6419;129,2089;0,5669708;0,5655548
Right;129,7252;130,4662;0,7409973;0,6675507
Left;130,8274;131,4576;0,6302795;0,5442333
Right;131,9554;132,6952;0,7398376;0,656918
Left;137,0294;137,5031;0,4736023;0,2982858
Right;139,1889;139,7997;0,6108856;0,3274011
Left;140,7193;141,3425;0,6231232;0,4055898
Right;141,8471;142,6383;0,7911987;0,5816503
Left;142,856;143,6026;0,7465973;0,6271156
Right;144,0486;144,6954;0,6467743;0,6360447
Left;145,1737;145,7882;0,6145172;0,5216131
Left;147,7508;148,5632;0,8124084;0,451202
Left;155,2955;155,9264;0,6308594;0,399303
Left;157,6557;158,3185;0,6628418;0,5457138
Left;163,5763;164,4025;0,8262787;1,167426
Left;165,9965;166,6759;0,6793976;0,7246495


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);7,139994
(2,5);8,099996
(2,4);0
(3,3);0
(4,3);0
(4,2);2,979998
(3,2);2,159999
(2,2);9,780034


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,211859;(2,5);2,219999
4,364946;(2,5);0
2,131702;(2,4);0
2,293427;(2,4);0
2,094498;(2,4);0,4
5,709396;(2,4);2,939998
1,97451;(2,4);0,7799998
1,562737;(3,3);0
2,09761;(3,3);0
1,992748;(3,3);0
2,192497;(3,3);0
5,971752;(3,3);5,799995
1,513992;(4,3);0,9999996
3,720078;(4,3);1,339999
5,992867;(4,3);0,8999997
4,077736;(4,3);1,639999
1,74968;(2,2);0
2,033752;(2,2);2,039999
3,944183;(2,2);3,559997
1,524399;(2,2);0
4,335571;(2,1);0


