Areas
Area;Time spent in Area (s)
(4,5);1,663352
(4,4);2,366656
(4,3);2,350393
(4,2);2,437815
(4,1);7,519343
(4,2);2,493027
(4,3);2,445126
(4,4);2,329014
(4,5);2,291567


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,569773;1,503586;0,933813;1,322036
Right;1,515628;2,183939;0,6683116;1,298786
Left;2,07221;2,762567;0,690357;1,314646
Right;2,738166;3,432702;0,694536;1,329558
Left;3,444064;4,180717;0,7366526;1,328674
Right;4,090694;4,819182;0,7284875;1,317677
Left;4,744207;5,460845;0,7166376;1,328624
Right;5,516735;6,106199;0,5894642;1,331847
Left;6,070335;6,812396;0,7420607;1,33504
Right;6,683091;7,475622;0,7925315;1,346598
Left;7,428095;8,191098;0,7630033;1,34182
Right;8,123517;8,841948;0,7184305;1,35398
Left;8,740685;9,520265;0,7795792;1,313627
Right;9,520267;10,14175;0,6214876;1,267319
Left;10,16409;10,92375;0,7596598;1,264103
Right;10,90058;11,57917;0,6785898;1,247702
Left;11,61767;12,1;0,4823313;0,896873
Right;12,47064;12,86087;0,3902292;0,8447693
Left;12,83661;13,60421;0,767602;0,3566658
Right;13,93849;14,28058;0,3420897;0,2121385
Left;14,66303;15,02564;0,3626089;0,2248189
Right;15,45769;16,10887;0,6511784;0,7957625
Left;16,05477;16,80622;0,7514458;1,436873
Right;16,85703;17,4516;0,5945702;1,365361
Left;17,36896;18,12439;0,7554264;1,337984
Right;18,09984;18,76789;0,6680527;1,312114
Left;18,6625;19,44854;0,7860355;1,285712
Right;19,46476;20,12929;0,6645279;1,279745
Left;20,08522;20,84518;0,7599602;1,276822
Right;20,81438;21,50703;0,6926441;1,302755
Left;21,43377;22,1918;0,7580242;1,326687
Right;22,32258;22,8433;0,5207253;1,321549
Left;22,74112;23,52275;0,7816296;1,325207
Right;23,50466;24,15491;0,650259;1,311773
Left;24,08172;24,8545;0,7727776;1,337823
Right;24,84126;25,5358;0,6945457;1,39768
Left;25,4102;26,19478;0,7845821;1,380207
Right;26,18294;26,82401;0,641077;1,381757


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


