Advice;Path;Path succeeded (0=no, 1=yes);Trial time (s);Distance travelled (m);Walked path;Number of travelled areas;Mean time in area (s);Number of errors;Number of areas travelled by error;Time spent in error (s);Distance travelled in error (m);Step count;Step length (m);Walk speed (m/s);Step frequency (/s);Proportion of time left foot was in front (%);Step length asymmetry index (%);Step length ratio;Number of pauses;Mean pause duration (s);Total pause duration (s);Mean time spent looking at landmarks (s);Total time spent looking at landmarks (s);Total time spent looking at landmarks during pauses (s)
;BASELINE;1;28,64009;26,47246;45.44.43.42.41.40.41.42.43.44.45;11;2,603644;0;0;0;0;44;1,248269;0,9245899;1,593522;56,58747;4,35463;0,9573816;0;0;0;0;0;0
ARROW;B;1;110,2693;30,04222;11.12.13.23.33.32.42.43.44;9;12,25214;0;0;0;0;70;0,6901317;0,2724617;0,6516696;35,02852;8,689928;0,9167193;6;6,049296;36,29578;3,422519;27,38016;15,41999
LIGHT;A;1;43,17869;20,13833;15.25.24.33.43.42.32.22.21;9;4,797632;0;0;0;0;48;0,8176959;0,4664648;1,151559;51,60458;0,2927327;0,9970769;0;0;0;0,2824999;2,26;0
COMPANION;C;1;57,40631;22,41947;45.35.34.23.13.12.11.21.31;9;6,378479;0;0;0;0;52;0,7393937;0,390588;0,9380623;41,96782;2,149479;0,9787338;3;3,580777;10,74233;1,279999;10,24;4,579997
