Areas
Area;Time spent in Area (s)
(1,5);1,834746
(2,5);2,422797
(2,4);2,926939
(3,3);3,221076
(4,3);2,219427
(4,2);1,298479
(3,2);2,769587
(2,2);2,637348
(2,1);2,261221


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,5761673;0,9599891;0,3838217;0,2854308
Right;0,587787;1,721916;1,134129;0,9688008
Left;1,461423;2,302537;0,841114;1,084355
Right;2,074405;2,983532;0,9091268;0,9522032
Left;2,790685;3,495667;0,704982;0,8091742
Right;3,352141;4,09169;0,7395489;0,8751234
Left;3,844203;4,707473;0,8632705;1,157517
Right;4,497069;5,282558;0,7854891;1,139601
Right;5,656225;6,497775;0,8415499;1,129214
Right;6,913718;7,695117;0,7813988;1,016065
Left;7,501969;8,305263;0,8032937;1,029839
Right;8,061213;8,923598;0,8623857;1,064779
Left;8,755395;9,537521;0,7821264;0,9852208
Right;9,33864;10,16949;0,8308506;1,078495
Left;9,962844;10,76922;0,8063755;1,13102
Right;10,54625;11,34371;0,7974653;1,082991
Left;11,14238;11,91132;0,7689342;1,058439
Right;11,79059;12,57424;0,7836533;0,8064399
Left;12,40103;13,22844;0,8274145;1,053679
Right;13,12391;13,81199;0,6880732;1,077765
Left;13,56604;14,33834;0,7723026;1,1287
Right;14,17813;15,00049;0,822361;0,908392
Left;14,71848;15,5128;0,7943239;1,09492
Right;15,39958;16,13534;0,7357626;1,124101
Left;16,02124;16,72487;0,7036343;1,08025
Right;16,50062;17,31207;0,8114567;1,028231
Left;17,17558;17,92917;0,7535858;1,026084
Right;17,85524;18,63881;0,7835636;1,048672
Left;18,38396;19,1761;0,792141;1,020758
Right;19,01356;19,81891;0,8053474;1,069307
Left;19,66187;20,45144;0,7895756;0,9524311
Right;20,23504;21,08839;0,8533478;1,147888
Left;20,96383;21,65771;0,693882;1,13549
Left;22,05799;22,52511;0,4671249;0,5666502


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0
(2,5);0
(2,4);0,02
(3,3);0
(4,3);0,8399997
(4,2);0
(3,2);0,26
(2,2);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


