Areas
Area;Time spent in Area (s)
(1,1);2,799396
(1,2);5,919786
(1,3);4,354219
(2,3);11,76813
(3,3);2,936157
(3,2);3,481857
(4,2);2,402
(4,3);5,143299
(4,4);9,922024


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,907411;2,807639;0,9002279;0,9150526
Right;4,017742;4,887842;0,8701;0,8851789
Left;5,01869;6,066971;1,048281;0,8129825
Right;6,259561;7,588211;1,32865;0,8414759
Left;7,639074;8,5355;0,8964257;0,9601417
Right;8,616295;9,507594;0,8912992;1,018409
Left;9,49826;10,37295;0,8746872;1,038595
Right;10,31752;11,18247;0,8649454;0,9426889
Left;11,22341;12,14397;0,9205589;0,9750999
Right;12,27421;13,24773;0,9735231;0,7885157
Left;13,31858;14,32885;1,010268;0,8660424
Right;14,53784;15,38121;0,8433704;0,8271793
Left;15,52055;16,50295;0,9824095;0,8963029
Right;16,61201;17,50589;0,8938732;0,9209726
Left;17,58586;18,54859;0,9627304;0,8338818
Right;18,89889;19,54747;0,6485767;0,5031348
Left;19,76069;20,19745;0,4367676;0,2728055
Right;25,41953;26,15489;0,7353592;0,5691527
Left;26,16788;27,12256;0,9546833;0,9989085
Right;27,15686;28,2124;1,05554;0,9351391
Left;28,25494;29,27017;1,01523;1,028421
Right;29,38272;30,29975;0,9170322;1,063962
Left;30,26286;31,15691;0,8940525;1,048346
Right;31,11628;32,10054;0,9842682;1,046223
Left;32,01556;32,94635;0,9307899;0,8550118
Right;32,99939;33,84768;0,8482895;1,023018
Left;33,98457;34,90553;0,9209518;0,8732981
Right;34,94102;35,82677;0,8857536;0,9779385
Left;35,83909;36,77951;0,9404182;0,8353291
Right;36,83524;37,80714;0,9719009;1,058854
Left;37,77744;38,74548;0,9680481;1,075229
Right;38,78373;39,78656;1,002827;0,9821115
Left;39,92081;40,94429;1,023479;0,9190229
Right;41,07586;42,02347;0,9476128;0,9645182
Left;42,09097;42,9153;0,8243332;0,9712873
Right;43,16534;44,00985;0,8445091;0,7018653
Left;44,38113;45,06963;0,6884995;0,6512241
Right;46,70029;47,47776;0,7774773;0,5979065
Left;47,97866;48,73207;0,7534103;0,593563
Right;49,3195;50,15059;0,8310814;0,5471963
Left;50,44095;51,20384;0,7628899;0,7770465
Right;51,5337;52,52529;0,9915848;0,7039574


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);0
(1,2);0,9399996
(1,3);0,7399998
(2,3);8,239999
(3,3);0
(3,2);0
(4,2);0
(4,3);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
5,014711;(2,3);4,999996


