Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
C;LIGHT;64,37319;25,23687;0,39204;1;-1;0;55.45.35.34.23.13.12.11.21.31;10;6,437319;0;0;0;0
A;ARROW;54,07004;25,23253;0,4666638;0;-1;1;16.15.25.24.33.43.42.32.22.21;10;5,407004;0;0;0;0
C;LIGHT;18,75455;1,947871;0,1038613;0;-1;1;55.45;2;9,377273;0;0;0;0
C;LIGHT;48,44269;23,72775;0,4898107;1;-1;0,8278641;55.45.35.34.23.13.12.11.21.31;10;4,844269;0;0;0;0
