Advice;Path;Path succeeded (0=no, 1=yes);Trial time (s);Distance travelled (m);Walked path;Number of travelled areas;Mean time in area (s);Number of errors;Number of areas travelled by error;Time spent in error (s);Distance travelled in error (m);Step count;Step length (m);Walk speed (m/s);Step frequency (/s);Proportion of time left foot was in front (%);Step length asymmetry index (%);Step length ratio;Number of pauses;Mean pause duration (s);Total pause duration (s);Mean time spent looking at landmarks (s);Total time spent looking at landmarks (s);Total time spent looking at landmarks during pauses (s)
;BASELINE;1;27,56302;25,03342;45.44.43.42.41.42.43.44.45;9;3,062558;0;0;0;0;38;1,358556;0,9085077;1,447385;49,92489;1,244182;0,9876351;0;0;0;0;0;0
ARROW;B;1;45,24496;22,23516;11.12.13.23.33.32.42.43.44;9;5,027218;0;0;0;0;42;1,030135;0,4915356;1,002306;52,39469;6,403502;0,9379516;1;2,363293;2,363293;1,529999;12,23999;1,859999
LIGHT;C;1;45,49476;22,38432;45.35.34.23.13.12.11.21.31;9;5,054973;0;0;0;0;41;1,071593;0,4921363;0,9351297;43,63636;5,432289;0,9471136;1;1,73345;1,73345;1,222499;9,779994;1,06
COMPANION;A;1;45,99983;22,80246;15.25.24.33.43.42.32.22.21;9;5,111092;0;0;0;0;44;1,004443;0,4958059;0,9737083;51,90775;3,932241;0,9614358;0;0;0;0,8199996;6,559997;0
