Areas
Area;Time spent in Area (s)
(1,5);2,763014
(2,5);1,918707
(2,4);4,152529
(3,3);0,4040108
(4,3);5,514825
(4,2);3,806797
(3,2);4,403307
(2,2);5,41787
(2,1);6,907753


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,6103128;1,235342;0,6250291;0,8611321
Left;1,608252;1,806202;0,1979496;0,3727723
Right;1,718883;2,165879;0,4469959;0,3447843
Left;2,119451;2,607028;0,4875777;0,3114851
Right;2,638021;3,353057;0,7150357;0,8963954
Left;3,498025;3,840874;0,3428488;0,9112881
Right;4,064821;4,873493;0,8086724;0,9368436
Left;4,909627;5,523371;0,6137433;1,076797
Right;5,38295;6,110912;0,7279625;1,063186
Left;6,220398;6,673422;0,4530239;0,9258959
Right;6,626294;7,356931;0,7306376;0,8238149
Left;7,581669;8,110282;0,5286126;0,8173386
Right;8,121362;8,802823;0,6814613;0,9123912
Left;9,061807;9,32251;0,2607031;0,8451564
Right;9,523407;10,24359;0,7201862;0,8324493
Left;10,56788;10,91654;0,3486557;0,659566
Right;10,97649;11,76826;0,7917643;0,6573829
Left;11,97009;12,49153;0,5214396;0,8361254
Right;12,44102;13,24878;0,8077602;0,9130766
Left;13,38023;14,03338;0,6531515;0,9499967
Right;13,94092;14,63968;0,6987572;0,8984174
Right;15,29301;16,02834;0,7353354;0,7399756
Left;16,59744;16,87255;0,2751026;0,8170341
Right;17,07883;17,77733;0,698494;0,6843506
Left;18,13815;18,72789;0,5897408;0,6965076
Right;18,96816;19,67227;0,7041016;0,544205
Left;20,39763;20,77025;0,3726234;0,5527539
Right;20,89313;22,18499;1,291861;0,5050485
Left;22,80317;23,06798;0,2648106;0,4476908
Right;23,06798;23,32141;0,2534313;0,4287336
Left;23,70552;24,2607;0,5551853;0,6457154
Right;23,70552;23,98156;0,2760448;0,4420263
Right;24,29293;25,04893;0,7559948;0,5411085
Left;25,35161;25,88276;0,5311565;0,8700708
Right;25,80002;26,56857;0,7685452;0,8092163
Left;26,90509;27,48305;0,5779629;0,8074502
Right;27,45937;28,27189;0,8125191;0,9073488
Right;28,90753;29,68843;0,7809067;0,9583065
Left;30,06771;30,40782;0,3401108;0,8991763
Right;30,3215;31,08094;0,7594357;0,7391419
Left;31,60462;31,98459;0,3799725;0,6490079
Right;32,29106;33,10859;0,8175278;0,7750291
Left;33,4468;34,00806;0,5612564;0,577741
Right;34,4656;35,28603;0,8204346;0,7440112
Left;35,9237;36,22419;0,3004913;0,2370829
Right;36,2242;37,15165;0,9274559;0,8337263
Left;37,45471;37,97123;0,5165138;0,5499495
Right;38,23572;38,88379;0,6480713;0,4619673
Left;39,08139;39,27506;0,1936684;0,3694052
Left;39,67921;39,92358;0,2443657;0,3126356
Right;39,76886;40,82808;1,059223;0,685206
Left;41,06865;41,64344;0,5747948;0,7553154
Right;41,82132;42,54807;0,7267494;0,7984679
Right;44,96079;45,73233;0,7715416;0,218123
Left;45,73233;46,14123;0,4089012;0,1457845


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);1,839999
(2,5);0
(2,4);0
(3,3);0
(4,3);4,359997
(4,2);1,159999
(3,2);2,219999
(2,2);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


