Areas
Area;Time spent in Area (s)
(4,5);1,982854
(4,4);2,114251
(4,3);2,034465
(4,2);2,138805
(4,1);2,242715
(4,0);1,905065
(4,1);2,79344
(4,2);1,978094
(4,3);2,015823
(4,4);2,023695
(4,5);2,195473


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,6630876;1,395082;0,7319947;1,033279
Right;1,653222;2,346181;0,6929592;1,144971
Right;2,632526;3,307474;0,6749477;1,132499
Left;3,123087;3,595215;0,4721282;1,144432
Right;3,688761;4,333547;0,6447861;1,123791
Left;4,169871;4,887895;0,7180238;1,111923
Right;4,686267;5,336321;0,6500545;1,163581
Left;5,116949;5,845148;0,728199;1,172834
Right;5,669563;6,429638;0,7600746;1,177052
Left;6,133308;6,810755;0,6774468;1,191428
Right;6,646829;7,362392;0,7155638;1,19873
Left;7,146941;7,785534;0,6385932;1,197988
Right;7,603687;8,313274;0,7095876;1,203289
Left;8,087822;8,800309;0,7124872;1,181011
Right;8,568092;9,22585;0,6577578;1,181238
Left;9,048966;9,712504;0,663538;1,158907
Right;9,563914;10,23439;0,6704798;1,056532
Left;10,08553;10,79947;0,7139454;1,0432
Right;10,66716;11,36529;0,6981268;0,9788339
Left;11,17348;11,89654;0,7230539;0,8585644
Right;11,82898;12,36407;0,5350971;0,7152061
Left;12,53277;12,86027;0,3275023;0,1002126
Right;12,92258;13,40124;0,4786615;0,2228136
Left;13,54335;14,11324;0,5698957;0,2075167
Right;14,07668;14,8038;0,7271137;0,7803412
Left;14,7229;15,47572;0,7528219;0,9789931
Right;15,32322;16,06897;0,7457495;1,084962
Left;15,83199;16,60397;0,7719812;1,146656
Right;16,39419;17,05115;0,6569653;1,176758
Left;16,86385;17,64964;0,7857914;1,186091
Right;17,40266;18,05379;0,6511269;1,175146
Left;17,86462;18,56073;0,696104;1,202799
Right;18,36865;19,07075;0,7020931;1,206432
Left;18,87159;19,55537;0,6837749;1,186526
Right;19,34573;20,07105;0,725317;1,213341
Left;19,85664;20,55062;0,6939793;1,193525
Right;20,3679;21,05745;0,6895561;1,157623
Left;20,86652;21,57064;0,7041206;1,166202
Right;21,383;22,03235;0,6493587;1,180472
Left;21,84465;22,63569;0,7910347;1,161959
Right;22,38733;23,09561;0,7082806;1,150938
Left;22,89392;23,60974;0,7158184;1,176566
Right;23,39288;24,08485;0,6919689;1,177588
Left;23,87823;24,63001;0,7517834;1,15132
Right;24,38577;25,14597;0,7601948;1,12228


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


