Areas
Area;Time spent in Area (s)
(1,1);3,959757
(1,2);4,696826
(1,3);6,158198
(2,3);4,701062
(3,3);4,846689
(3,2);4,861324
(4,2);6,23175
(4,3);4,325165
(4,4);2,924149


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;2,847465;3,569557;0,7220924;0,885377
Left;3,783717;4,562229;0,7785122;0,7629848
Right;4,937774;5,546124;0,6083503;0,7989298
Left;5,622802;6,581455;0,9586535;0,9677427
Right;6,744799;7,464787;0,7199874;0,9632173
Left;7,589215;8,491375;0,9021602;0,9875246
Right;8,607672;9,39231;0,7846384;1,137518
Left;9,363708;10,21547;0,8517599;1,194834
Right;10,2395;11,02892;0,7894211;0,9864604
Left;11,09878;11,85375;0,7549772;0,8104765
Right;12,12575;13,03265;0,9069071;0,595962
Left;13,22652;14,00232;0,7758017;0,5577433
Right;14,36759;15,17092;0,8033247;0,6779409
Left;15,3438;16,159;0,8151979;1,092304
Right;16,26322;17,03498;0,7717533;1,102178
Left;17,15121;17,99726;0,8460541;1,053142
Right;18,08883;18,80906;0,7202263;1,05867
Left;18,86451;19,53942;0,6749134;0,7958301
Right;19,97952;20,6288;0,6492825;0,6420031
Left;20,90616;21,56067;0,6545105;0,7614985
Right;21,89841;22,51535;0,6169376;0,7486967
Left;22,64694;23,48079;0,8338566;1,069124
Right;23,54196;24,28749;0,7455292;0,8997804
Left;24,4091;25,19557;0,786478;0,7616845
Right;25,8318;26,25597;0,4241714;0,4582494
Left;26,43097;27,13448;0,7035084;0,5268203
Right;27,59136;28,25774;0,6663799;0,8720053
Left;28,54398;29,54893;1,004946;0,748561
Right;29,53215;30,38692;0,8547745;1,193054
Left;30,3325;31,17954;0,8470383;1,213683
Right;31,23075;32,05257;0,821825;1,202808
Left;32,12844;33,03331;0,9048691;0,7800065
Right;33,50147;34,13008;0,6286087;0,6551806
Right;36,70384;37,47895;0,7751045;0,6059381
Left;37,59495;38,45253;0,8575745;1,370041
Right;38,54803;39,36717;0,8191414;1,129067
Left;39,39157;40,38758;0,9960098;1,038766
Right;40,44369;41,39823;0,9545403;1,093467
Left;41,3489;42,22811;0,8792114;1,216711
Right;42,22811;43,01387;0,7857666;1,186206
Left;42,92192;43,85243;0,9305077;1,168366
Right;43,90487;44,75084;0,8459778;1,10722


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);0,14
(1,2);1,899999
(1,3);1,06
(2,3);1,239999
(3,3);1,579999
(3,2);1,779999
(4,2);3,199998
(4,3);1,339999


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
2,363293;(4,2);1,859999


