Advice;Path;Path succeeded (0=no, 1=yes);Trial time (s);Distance travelled (m);Walked path;Number of travelled areas;Mean time in area (s);Number of errors;Number of areas travelled by error;Time spent in error (s);Distance travelled in error (m);Step count;Step length (m);Walk speed (m/s);Step frequency (/s);Proportion of time left foot was in front (%);Step length asymmetry index (%);Step length ratio;Number of pauses;Mean pause duration (s);Total pause duration (s);Mean time spent looking at landmarks (s);Total time spent looking at landmarks (s);Total time spent looking at landmarks during pauses (s)
;BASELINE;1;26,45924;26,29765;45.44.43.42.41.40.41.42.43.44.45;11;2,405385;0;0;0;0;38;1,316044;0,9941906;1,532394;48,13622;8,359759;0,9197565;0;0;0;0;0;0
ARROW;A;1;167,3211;35,88328;15.25.24.33.43.42.32.22.21;9;18,59123;0;0;0;0;67;0,5641924;0,2144663;0,4033725;38,20277;1,145573;0,9886095;21;3,02333;63,48994;3,770002;30,16002;22,61999
LIGHT;B;1;200,4458;30,66974;11.12.11.12.13.23.33.32.42.43.44;11;18,22235;0;0;0;0;83;0,543998;0,1530129;0,4275236;62,83667;14,38305;0,8658192;20;3,573189;71,46379;4,782501;38,26001;12,65999
COMPANION;C;1;157,7416;29,95912;45.35.34.23.13.12.11.21.31;9;17,52685;0;0;0;0;73;0,4765488;0,1899343;0,4654852;54,96146;1,879887;0,9813762;16;2,910075;46,5612;6,480012;51,8401;21,35999
