Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
T;LIGHT;53,98664;4,200925;0,07781416;1;-1;0,2701422;53.43;2;26,99332;0;0;0;0
T;LIGHT;171,1394;23,34275;0,1363961;1;-0,09564763;0,3038686;53.43.33.32.33.34.35;7;24,44849;1;1;9,771965;0
B;LIGHT;257,9492;32,48529;0,1259368;8;-8;0,3264965;01.11.12.11.12.13.23.33.32.42.43.44;12;21,49576;1;1;8,004837;0
T;PEANUT;138,3001;20,28619;0,1466824;4;0,03049999;0,4858612;53.43.33.32.33.34.35;7;19,75715;1;1;7,391006;0
C;PEANUT;190,9408;35,09856;0,1838191;7;0,04060425;0,4178715;55.45.35.34.23.13.12.11.21.31;10;19,09408;0;0;0;0
T;ARROW;64,05534;18,94026;0,2956859;3;-3;0,4176402;53.43.33.32.33.34.35;7;9,150763;1;1;7,504536;0
A;ARROW;215,7898;38,79659;0,1797888;5;0,03016999;0,3626561;16.15.25.24.33.43.42.32.22.21;10;21,57898;0;0;0;0
