Areas
Area;Time spent in Area (s)
(1,1);3,092328
(1,2);4,271315
(1,3);15,57047
(2,3);9,566294
(3,3);4,440273
(3,2);0,5396233
(4,2);2,119106
(4,3);6,672668
(4,4);8,578262


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;2,713227;3,530123;0,816896;0,8933184
Right;4,65709;5,345575;0,6884847;0,6758178
Left;5,440588;6,216107;0,7755189;0,7726557
Right;6,122894;6,813468;0,6905742;0,9196844
Left;7,081823;7,581241;0,4994178;0,9727145
Right;7,475851;8,277934;0,8020835;0,9446971
Left;8,553105;8,957972;0,4048662;0,9234861
Right;8,883056;9,565337;0,6822815;0,5686717
Right;11,81717;12,32765;0,5104809;0,1408935
Left;12,50175;12,79834;0,296587;0,3124942
Right;14,99597;15,69567;0,6997061;0,4523634
Left;16,14089;16,41745;0,276556;0,4694209
Left;21,1024;21,52629;0,4238987;0,2303146
Right;22,55997;23,18935;0,6293831;0,5998027
Left;23,66412;23,80058;0,1364651;0,4706692
Right;23,93594;24,76911;0,8331699;0,9725858
Left;24,86997;25,39421;0,5242405;0,9378653
Right;25,31913;25,64053;0,321394;0,6651416
Left;26,02344;26,3671;0,3436604;0,9081924
Right;26,02344;26,28149;0,2580528;0,2325597
Right;26,56893;27,40834;0,8394089;0,777272
Left;27,65232;28,04191;0,3895874;0,4555637
Right;32,98272;33,71203;0,7293091;0,4430352
Left;33,99021;34,52731;0,5370979;0,7088058
Right;34,69195;35,86698;1,17503;0,5524945
Left;35,99094;36,72425;0,7333183;0,8188391
Right;36,68618;37,43517;0,7489853;0,8056033
Left;37,63992;38,14251;0,5025978;0,9373763
Right;38,1005;38,81119;0,7106895;0,6990914
Left;39,27952;39,68505;0,405529;0,2990675
Right;41,08796;41,61955;0,5315857;0,3352664
Left;42,5845;43,01158;0,4270821;0,6120909
Right;43,2248;43,77715;0,5523453;0,2897905
Right;48,99144;49,60173;0,6102867;0,2911939
Left;50,01559;50,38732;0,371727;0,4106143
Right;51,66275;52,08062;0,4178772;0,1952494
Right;55,56717;56,25803;0,6908684;0,2447892
Right;57,96391;58,74564;0,7817268;0,4431046
Left;58,92261;59,81866;0,8960571;0,5609987
Right;59,87819;60,81337;0,9351807;0,8009956
Left;61,00913;61,61346;0,6043243;0,8984013
Right;61,60138;62,2579;0,6565208;0,9387112
Left;62,38389;63,10525;0,7213593;0,79553
Right;63,0893;63,88638;0,7970848;0,9159489
Left;64,04485;64,71272;0,6678696;0,8120649
Right;64,7127;65,54713;0,8344345;0,7526262
Left;66,01227;66,40945;0,3971786;0,803188
Right;66,36458;67,50119;1,136612;0,8108719
Left;67,86491;68,33743;0,4725266;0,5310842
Right;68,53764;69,0889;0,5512543;0,5466188
Left;69,59855;70,18069;0,5821457;0,7238441
Right;70,62917;71,332;0,7028351;0,7889899
Left;71,64314;72,25296;0,6098251;0,9032308
Right;72,2055;73,04133;0,8358307;0,9032027
Left;73,10742;73,77017;0,6627502;1,000067
Right;73,70996;74,5126;0,8026352;0,890928
Left;74,70819;75,36328;0,6550903;0,6760641
Right;75,95036;76,72795;0,7775879;0,3453845
Left;77,32733;78,05324;0,7259064;0,5060351
Right;78,26868;78,71571;0,4470291;0,1693357


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);1,859999
(1,2);0,09999999
(1,3);7,319994
(2,3);8,400002
(3,3);0,56
(3,2);0,36
(4,2);0,22
(4,3);4,719996


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
1,996636;(1,3);1,719999
4,476627;(1,3);3,039998
4,723501;(2,3);4,739996
5,002953;(3,2);1,299999
2,485367;(3,2);1,239999


