Areas
Area;Time spent in Area (s)
(4,5);2,313629
(4,4);2,458531
(4,3);2,259913
(4,2);2,408397
(4,1);2,859291
(4,0);0,9562845
(4,1);2,977419
(4,2);2,18643
(4,3);2,205557
(4,4);2,151077
(4,5);2,403673


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,5609601;1,150419;0,5894588;0,8115855
Right;1,020695;1,705907;0,6852119;1,148474
Left;1,624116;2,313629;0,689513;1,162711
Right;2,191543;2,929751;0,7382078;1,155884
Left;2,79639;3,548741;0,7523508;1,135502
Right;3,382981;4,117739;0,7347586;1,111698
Left;3,981238;4,694615;0,7133777;1,126004
Right;4,582406;5,25332;0,6709146;1,146408
Left;5,135622;5,838627;0,7030053;1,166973
Right;5,719137;6,370079;0,6509423;1,179774
Left;6,262036;7,024969;0,7629323;1,18914
Right;6,885203;7,482613;0,5974097;1,177137
Left;7,385738;8,07735;0,6916113;1,154485
Right;7,9426;8,642517;0,6999168;1,150199
Left;8,53432;9,129367;0,595047;1,127543
Right;9,074794;9,730298;0,6555042;1,082551
Left;9,675951;10,34083;0,6648741;1,089664
Right;10,24482;10,92215;0,6773272;1,088595
Left;10,85845;11,50139;0,6429396;1,071282
Right;11,41885;12,10606;0,6872129;1,055377
Left;12,04677;12,49609;0,4493141;0,6310938
Right;12,71338;13,3207;0,6073217;0,7668648
Left;13,2021;14,04658;0,8444824;0,6671603
Right;14,12707;14,59082;0,4637547;0,1497278
Left;15,54437;16,23877;0,6943998;0,8114844
Right;16,22626;16,83836;0,612093;1,100739
Left;16,73394;17,41099;0,6770439;1,167074
Right;17,29906;18,00621;0,7071476;1,18629
Left;17,84398;18,5717;0,727726;1,213113
Right;18,44758;19,08948;0,641901;1,218246
Left;18,97642;19,67602;0,6995945;1,182942
Right;19,52558;20,18381;0,6582336;1,154095
Left;20,05764;20,75297;0,6953335;1,173367
Right;20,61478;21,33944;0,7246552;1,183692
Left;21,204;21,99191;0,7879181;1,165413
Right;21,83382;22,48939;0,6555653;1,192218
Left;22,30007;23,02425;0,7241764;1,204619
Right;22,9004;23,61089;0,710495;1,19419
Left;23,37595;24,09889;0,7229443;1,195447
Right;23,92982;24,6875;0,757679;1,174844
Left;24,46863;25,14676;0,6781273;1,162638
Right;25,02704;25,70654;0,679491;1,166051
Left;25,56552;26,22671;0,6611843;1,141573
Right;26,16164;26,82683;0,6651897;1,127045


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


