Areas
Area;Time spent in Area (s)
(4,5);2,288089
(4,4);1,613307
(4,3);1,977379
(4,2);2,10505
(4,1);2,737935
(4,0);1,117536
(4,1);4,224517
(4,2);2,106197
(4,3);2,018137
(4,4);2,037157
(4,5);2,184811


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,5988903;1,240687;0,6417969;0,8648778
Right;0,9921021;1,725024;0,7329218;1,34308
Left;1,584329;2,329252;0,7449234;1,342665
Right;2,100406;2,833705;0,7332993;1,337693
Left;2,705197;3,397148;0,6919513;1,315655
Right;3,23831;3,950429;0,7121196;1,314321
Left;3,804505;4,512047;0,7075422;1,33616
Right;4,301211;5,04575;0,7445393;1,301614
Left;4,931766;5,603531;0,6717658;1,267884
Right;5,409662;6,178647;0,7689848;1,307307
Left;6,034781;6,728743;0,6939621;1,318608
Right;6,560416;7,284315;0,7238994;1,312947
Left;7,136423;7,818168;0,6817455;1,322219
Right;7,645751;8,415141;0,7693896;1,296942
Left;8,276738;8,971633;0,6948948;1,248446
Right;8,779009;9,598277;0,8192682;1,189088
Left;9,460258;10,12747;0,6672125;1,107783
Right;10,07826;10,80351;0,7252464;1,032132
Left;10,77909;11,53255;0,7534599;0,947209
Right;11,56261;12,29831;0,7357035;0,8002999
Left;12,51674;12,85198;0,3352356;0,2606057
Right;12,96177;13,49157;0,5298004;0,2991512
Left;14,9051;15,55605;0,6509495;0,4334896
Right;15,48665;16,26118;0,7745323;1,318832
Left;16,13954;16,83102;0,691473;1,313726
Right;16,7195;17,44556;0,7260628;1,305092
Left;17,28032;18,03278;0,7524643;1,320395
Right;17,91293;18,66109;0,7481575;1,309875
Left;18,44465;19,20713;0,7624798;1,303959
Right;19,07618;19,76627;0,6900902;1,290507
Left;19,6043;20,32338;0,7190781;1,288942
Right;20,18073;20,88598;0,7052555;1,305861
Left;20,75951;21,46354;0,7040291;1,303994
Right;21,32316;22,01843;0,6952744;1,317476
Left;21,85852;22,2612;0,4026756;0,6796286
Right;22,4171;23,15755;0,740448;1,33684
Right;23,54243;24,27089;0,7284641;1,28834
Right;24,6797;25,39669;0,7169857;1,305836


Landmarks
Area;Time spent looking at landmarks (s)


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


