Advice;Path;Path succeeded (0=no, 1=yes);Trial time (s);Distance travelled (m);Walked path;Number of travelled areas;Mean time in area (s);Number of errors;Number of areas travelled by error;Time spent in error (s);Distance travelled in error (m);Step count;Step length (m);Walk speed (m/s);Step frequency (/s);Proportion of time left foot was in front (%);Step length asymmetry index (%);Step length ratio;Number of pauses;Mean pause duration (s);Total pause duration (s);Mean time spent looking at landmarks (s);Total time spent looking at landmarks (s);Total time spent looking at landmarks during pauses (s)
;BASELINE;1;23,47804;25,42378;45.44.43.42.41.42.43.44.45;9;2,608671;0;0;0;0;36;1,415914;1,08319;1,63416;49,24078;1,761024;0,9825435;0;0;0;0;0;0
ARROW;B;1;23,70354;18,53236;11.12.13.23.33.32.42.43.44;9;2,633726;0;0;0;0;32;1,221924;0,7822616;1,527626;50,69893;0,5805686;0,9942111;0;0;0;0,1825;1,46;0
LIGHT;A;1;29,8216;20,19151;15.25.24.33.43.42.32.22.21;9;3,313512;0;0;0;0;39;1,101547;0,677247;1,37545;53,1134;2,288384;0,977375;0;0;0;0,2875;2,3;0
COMPANION;C;1;34,18608;20,7041;45.35.34.23.13.12.11.21.31;9;3,798453;0;0;0;0;45;0,9311619;0,6057986;1,374235;52,32019;4,876177;0,9523988;0;0;0;0,7224997;5,779997;0
