Areas
Area;Time spent in Area (s)
(1,5);5,91645
(2,5);3,204885
(2,4);5,612891
(3,3);5,962357
(4,3);2,298477
(4,2);0,9095402
(3,2);3,583202
(2,2);2,901249
(2,1);7,601215


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,213845;1,969448;0,7556024;0,7763596
Left;2,084396;3,118427;1,034031;0,8425769
Right;3,118427;3,840374;0,7219467;0,7423657
Left;4,221848;5,011504;0,7896552;0,6024944
Right;5,588761;6,252138;0,6633768;0,667949
Left;6,582949;7,261036;0,6780877;0,6233151
Right;7,819132;8,301449;0,482317;0,4414726
Left;8,554799;9,3311;0,7763004;0,8129517
Right;9,321408;10,02028;0,6988707;0,9731179
Left;10,03995;10,84902;0,8090706;0,9281463
Right;10,81595;11,52782;0,7118664;0,8576362
Left;11,59609;12,41476;0,8186626;0,8598191
Right;12,43423;13,22256;0,7883234;0,972203
Left;13,28412;14,06743;0,7833138;0,839964
Right;14,19549;14,94193;0,7464399;0,7404798
Left;15,05676;15,90012;0,8433638;0,7804075
Right;15,95934;16,64968;0,6903334;0,7662643
Left;16,8161;17,52934;0,7132397;0,6468486
Right;17,71541;18,10249;0,387085;0,2624567
Left;18,49557;18,98216;0,4865894;0,3429232
Right;18,98216;19,66094;0,6787777;0,8680756
Left;19,66094;20,33868;0,677742;0,7438775
Right;20,53718;21,34856;0,8113842;0,838848
Left;21,32049;22,27609;0,9556026;0,9820204
Right;22,27609;23,04336;0,7672729;0,9243283
Left;23,03275;23,90463;0,8718796;1,009432
Right;23,90463;24,79407;0,8894367;1,021285
Left;24,73792;25,66027;0,922348;0,9542138
Right;25,70424;26,48618;0,7819462;0,8529341
Left;26,46214;27,41685;0,9547176;1,145565
Right;27,30469;28,11187;0,8071842;1,03699
Left;28,02132;28,92981;0,9084854;1,064769
Right;28,84072;29,60743;0,7667122;1,0925
Left;29,54181;30,3549;0,813097;1,056646
Right;30,22453;30,96227;0,7377434;0,9848116
Left;30,96227;31,79085;0,8285713;0,9753261
Right;31,67968;32,50218;0,8224945;0,9552597
Left;32,40637;33,21342;0,8070526;0,8456855
Right;33,1566;33,97204;0,8154335;1,02796
Left;33,94814;34,74835;0,8002129;0,9805267
Right;34,71763;35,45478;0,7371559;0,9091452
Left;35,42628;36,22663;0,8003502;0,860864
Right;36,19756;36,76112;0,5635529;0,5990861
Left;36,93553;37,47952;0,5439911;0,4842896
Right;37,65672;38,34784;0,6911125;0,6170539
Left;40,0226;40,76624;0,7436447;0,609894
Right;41,18291;41,9861;0,8031921;0,7248436
Left;42,21175;42,89648;0,6847343;0,6034225


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0,32
(2,5);0
(2,4);0
(3,3);0
(4,3);0,58
(4,2);0,36
(3,2);0,9999996
(2,2);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


