Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
M;PEANUT;43,11261;27,4927;0,637695;0;-1;1;45.44.43.42.41.40.41.42.43.44.45;11;3,919328;0;0;0;0
T;LIGHT;98,56646;15,42987;0,1565428;0;-1;1;55.45.44.43.44.43;6;16,42774;1;1;43,7522;0
A;LIGHT;37,3817;20,01182;0,5353374;0;-1;1;15.25.24.33.43.42.32.22.21;9;4,153522;0;0;0;0
T;PEANUT;17,02953;1,054791;0,06193897;2;-2;0,0204521;45;1;17,02953;0;0;0;0
T;PEANUT;15,70636;4,814987;0,3065629;1;-1;1;55;1;15,70636;0;0;0;0
T;PEANUT;167,4144;29,49908;0,176204;11;0,07050241;0,2640541;55.45.44.54.53.54.44.43;8;20,92679;1;2;9,038475;1,577526
C;PEANUT;148,9766;37,07055;0,2488347;19;0,1407723;0,4403974;55.45.35.34.23.13.12.11.21.20.30.31;12;12,41472;1;3;-127,4779;2,290999
T;ARROW;21,14006;4,744947;0,2244529;1;-1;1;55.54.55;3;7,046687;1;1;9,339202;0
T;ARROW;36,54205;10,31675;0,2823255;3;0,1091581;0,6507353;45.44.43;3;12,18068;0;0;0;0
B;ARROW;94,98181;26,83703;0,2825491;7;0,1103209;0,1548266;11.12.13.23.33.23.33.43.53.43.33;11;8,63471;2;3;14,60939;2,642578
B;ARROW;68,70934;25,33743;0,3687626;5;0,08109328;0,5310289;01.11.12.13.23.33.32.42.43.44;10;6,870934;0;0;0;0
B;PEANUT;87,73251;36,0666;0,4110973;1;-0,2806497;0,03260603;11.01.11.12.11.12.11.12.13.23.33.23.33.32.42.43.44;17;5,160736;4;4;8,626895;0
