Areas
Area;Time spent in Area (s)
(1,1);5,060245
(1,2);17,93989
(1,3);6,373436
(2,3);10,99732
(3,3);7,341339
(3,2);5,636055
(4,2);3,076859
(4,3);4,758163
(4,4);25,31927


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;2,070132;2,610023;0,5398915;1,393047
Left;3,603932;4,39617;0,7922382;0,6971583
Right;4,567996;5,090981;0,5229855;0,5527664
Left;5,540632;6,17922;0,6385875;0,4427238
Right;6,82226;7,574807;0,7525468;0,6439323
Left;7,789917;8,315781;0,5258636;0,530562
Right;8,505184;9,07157;0,5663862;0,4732769
Left;9,488936;10,13052;0,6415854;0,6002198
Right;10,33927;10,80463;0,4653597;0,4004565
Left;14,92284;15,22967;0,3068266;0,2835991
Right;21,35964;22,0405;0,6808624;0,4830756
Left;22,6224;23,16132;0,5389156;0,5165852
Right;23,88371;24,51797;0,6342583;0,56601
Left;24,804;25,48031;0,6763039;0,6406649
Right;25,84482;26,65542;0,8106003;0,6379788
Left;26,86539;27,61207;0,7466793;0,7047153
Right;27,86398;28,59104;0,7270603;0,6152938
Left;28,78243;29,45797;0,6755352;0,6499226
Right;29,72316;30,37719;0,6540279;0,5387639
Left;30,78736;31,34552;0,5581608;0,485827
Right;32,4262;33,11651;0,6903076;0,4769395
Left;33,48167;34,17023;0,6885605;0,5935658
Right;34,69484;35,30193;0,6070976;0,4948557
Left;36,02412;36,41674;0,3926201;0,2749516
Right;36,82941;37,25132;0,421917;0,2954781
Left;38,12408;39,00927;0,8851891;0,6468458
Right;39,12362;39,78719;0,6635704;0,6878352
Left;40,0641;40,62524;0,5611458;0,5743639
Right;40,90728;41,58587;0,6785965;0,6347516
Left;42,10295;42,971;0,868042;0,6475511
Right;43,20194;43,9451;0,7431526;0,6023183
Left;44,73418;45,15764;0,4234619;0,3392759
Right;45,48336;45,97541;0,492054;0,2990787
Right;47,58687;48,31735;0,7304802;0,4890362
Left;49,46247;50,05001;0,5875435;0,6358928
Right;50,87235;51,26869;0,3963394;0,2927861
Right;63,46867;63,92176;0,4530945;0,263603
Left;65,00574;65,508;0,5022583;0,1668858
Right;65,6367;66,39459;0,7578964;0,5297775
Left;66,4873;67,35022;0,8629227;0,9142491
Right;67,30743;68,01598;0,7085495;0,8854199
Left;68,10945;68,87177;0,7623215;0,8731219
Right;68,83266;69,53421;0,7015457;0,8776785
Left;69,52135;70,31566;0,7943039;0,8807462
Right;70,29003;71,01595;0,7259216;0,8635944
Left;71,36716;72,00726;0,6400909;0,7022582
Right;72,15179;72,83428;0,6824951;0,8501024
Left;73,03138;73,60071;0,5693283;0,647889
Right;73,70947;74,45386;0,7443924;0,6831678
Left;74,6478;75,35383;0,7060318;0,6979208
Right;75,58976;76,2718;0,6820374;0,7259633
Left;76,67049;77,25677;0,5862808;0,6577165
Right;77,27242;78,05154;0,779129;0,8831383
Left;78,19023;78,96078;0,770546;0,7807189
Right;78,94724;79,80601;0,8587723;0,8353783
Left;79,806;80,74364;0,937645;0,9391537
Right;80,64552;81,36485;0,7193298;0,9621168
Left;81,39062;82,19282;0,8022003;0,8310941
Right;82,28757;83,08981;0,8022385;0,834191
Left;83,16364;84,07101;0,9073715;0,7389486
Right;84,34019;84,99969;0,6595001;0,6801413
Left;85,20331;85,83804;0,6347275;0,6686355
Right;86,07033;86,79072;0,7203903;0,5655466
Left;87,54511;88,25537;0,7102585;0,5189397
Right;89,17329;89,60539;0,432106;0,2161699
Right;95,7755;96,23143;0,4559326;0,3514919
Right;99,7115;100,3568;0,6453247;0,6361294
Left;107,5017;107,667;0,1653061;0,6103878
Right;107,9926;108,6784;0,6858139;0,5338828
Left;108,8718;109,4865;0,6146927;0,7403592


Landmarks
Area;Time spent looking at landmarks (s)
(1,1);0,36
(1,2);15,46016
(1,3);1,899999
(2,3);3,799997
(3,3);3,159998
(3,2);2,399998
(4,2);0,3
(4,3);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
3,917296;(1,2);3,919997
5,919519;(1,2);5,299996
11,99736;(3,3);6,199995
4,245438;(4,4);0
3,276566;(4,4);0
6,939598;(4,4);0


