Areas
Area;Time spent in Area (s)
(4,5);11,11653
(3,5);7,509027
(3,4);5,227909
(2,3);5,693077
(1,3);5,679363
(1,2);4,755962
(1,1);3,37664
(2,1);5,080231
(3,1);3,555458


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Left;0,9537426;1,609353;0,6556101;0,6659088
Right;1,74744;2,546965;0,7995251;0,6576751
Left;2,706211;3,328298;0,622087;0,5362284
Right;3,67267;4,177856;0,5051861;0,3229517
Left;4,57267;5,006212;0,4335418;0,1831255
Right;9,255575;9,966434;0,7108593;0,4394666
Left;10,04623;10,86052;0,8142939;0,8039805
Right;10,76033;11,55927;0,7989397;0,8808236
Left;11,54615;12,34561;0,7994547;0,8927351
Right;12,24687;13,2078;0,9609299;0,9282233
Left;13,16391;13,94375;0,7798405;0,7315461
Right;13,97922;14,64729;0,6680651;0,6506473
Left;14,88993;15,53448;0,644558;0,4885075
Right;15,68949;16,45572;0,7662382;0,5083719
Left;16,61927;17,08213;0,4628582;0,2105731
Right;20,23166;21,04334;0,8116837;0,4282637
Left;21,20666;21,98837;0,7817059;0,7947052
Right;21,9743;22,70247;0,7281742;0,5819646
Left;23,07236;23,82426;0,7518959;0,5342522
Right;24,06934;25,00391;0,9345779;0,6744732
Left;25,04463;25,82609;0,7814579;0,8347313
Right;25,7638;26,68087;0,9170685;0,886577
Left;26,63113;27,44444;0,8133106;0,8577861
Right;27,44444;28,32882;0,8843803;0,855553
Left;28,29276;29,09554;0,802784;0,9040827
Right;29,02749;29,89808;0,8705883;0,7346087
Left;29,92109;30,69742;0,7763271;0,6882976
Right;30,86983;31,6974;0,8275776;0,5573449
Left;31,90788;32,66589;0,758009;0,7152725
Right;32,62303;33,69445;1,071423;0,8665861
Left;33,59193;34,33687;0,7449417;0,8696537
Right;34,36127;35,23232;0,871048;0,8931771
Left;35,13643;35,91536;0,7789383;0,8260034
Right;35,82487;36,68744;0,8625717;0,8382265
Left;36,98824;37,62746;0,6392288;0,4109838
Right;38,29046;39,19706;0,9066048;0,5393093
Left;39,18621;40,1053;0,9190941;0,8490481
Right;39,98732;40,92849;0,9411736;0,8408775
Left;40,91207;41,69138;0,7793121;0,7845687
Right;41,66489;42,56452;0,8996315;0,7915833
Left;42,59148;43,37207;0,7805862;0,8310781
Right;43,29024;44,21582;0,9255791;0,8808553
Left;44,19919;45,06342;0,8642311;0,8682006
Right;45,04919;45,95509;0,9059029;0,9209155
Left;45,95509;46,65588;0,7007904;0,7765431
Right;46,60735;47,4268;0,8194504;0,8343107
Left;47,51056;48,30886;0,7983017;0,6740869
Right;48,43616;49,22625;0,7900848;0,7517782
Left;49,34822;49,97823;0,6300049;0,7007881
Right;49,94824;50,881;0,9327621;0,7355711
Left;50,89611;51,61312;0,7170143;0,787351
Right;51,72575;52,41651;0,6907654;0,6622467
Left;52,7128;53,45892;0,7461166;0,7237293
Right;53,3363;54,28088;0,9445724;0,9292704
Left;54,20725;55,15372;0,9464684;0,9292483
Right;54,98971;55,81357;0,823864;0,8249867
Left;55,7815;56,62956;0,8480568;0,8585205
Right;56,57333;57,38205;0,8087158;0,7433299
Left;57,41132;58,30341;0,8920975;0,855474


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);0
(3,5);1,439999
(3,4);0
(2,3);0
(1,3);0,7599998
(1,2);0
(1,1);0,5000001
(2,1);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
4,037152;(4,5);0
2,938978;(3,5);0


