Areas
Area;Time spent in Area (s)
(4,5);16,6977
(3,5);60,32539
(3,4);35,38406
(2,3);26,85059
(1,3);8,490936
(1,2);0,4801483
(1,1);13,25549
(2,1);5,625778
(3,1);10,1001


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,715477;1,498449;0,7829721;0,6998528
Left;1,574053;2,129405;0,5553522;0,3444255
Right;10,88043;11,33554;0,4551086;0,2629365
Left;13,33979;14,02026;0,6804733;0,6078349
Right;14,14327;14,9446;0,8013287;0,7065892
Left;14,9446;15,55369;0,6090908;0,6097417
Right;15,59681;16,35149;0,7546854;0,539223
Left;16,39974;17,11462;0,7148838;0,4434509
Right;17,60305;18,32598;0,7229309;0,4431755
Left;18,68151;19,23321;0,5517006;0,3275291
Right;41,92797;42,43883;0,5108566;0,2226053
Left;43,28162;43,96304;0,6814156;0,2826134
Right;71,39915;71,99033;0,5911713;0,3533677
Left;72,46228;72,66079;0,1985092;0,241107
Left;73,11174;73,38107;0,2693253;0,1323638
Right;75,97039;76,81188;0,8414917;0,7239944
Right;79,54554;80,36987;0,8243332;0,3959052
Left;80,20166;80,92912;0,7274628;1,305139
Right;80,84808;81,43862;0,5905457;0,3379337
Right;81,90238;82,68315;0,7807693;0,3764109
Left;82,62137;83,41633;0,79496;0,6826014
Right;83,7598;84,54734;0,7875366;0,577966
Left;84,83372;85,37699;0,5432739;0,3588709
Right;111,6045;112,2937;0,68927;0,3462604
Left;112,444;113,2512;0,8071976;0,5849321
Right;113,5856;114,1319;0,5462799;0,3204018
Right;115,3808;116,0464;0,6655884;0,1683585
Left;116,5616;117,2479;0,6862793;0,434693
Right;117,7285;118,0958;0,3672638;0,1850705
Right;122,2098;123,1186;0,908844;0,3258743
Left;123,1518;123,919;0,7671432;0,6034768
Right;124,1239;124,9986;0,8746567;0,716822
Left;125,0318;125,7685;0,7366409;0,647149
Right;125,802;126,6465;0,8445358;0,6366937
Left;126,6306;127,2661;0,6355209;0,5638166
Right;135,6528;136,2589;0,6061096;0,344389
Left;136,5749;137,4943;0,9193726;0,6622981
Right;137,8107;138,5002;0,6895599;0,4905249
Left;149,4921;150,0828;0,5907593;0,3941421
Right;150,0998;150,9891;0,889328;0,6659187
Left;150,9891;151,7488;0,7597198;0,8081725
Right;151,7128;152,5647;0,8518829;0,7413318
Left;152,5647;153,3488;0,7840729;0,7161164
Right;153,4292;154,3169;0,8876801;0,6404641
Left;154,5424;155,3086;0,7661591;0,3143876
Right;155,3708;156,0761;0,7052917;0,5682481
Left;156,1273;156,9673;0,8400116;0,6035525
Right;156,9994;157,6647;0,6652832;0,5556903
Left;157,7915;158,2086;0,4170227;0,1249661
Left;160,3529;161,0171;0,6641388;0,3436078
Right;161,118;161,6494;0,5313416;0,2664817
Left;163,8388;164,2772;0,4384003;0,1649122
Left;170,0703;170,6189;0,5485229;0,1741408
Right;170,9743;171,8234;0,8490753;0,5489397
Right;173,1308;173,5662;0,435379;0,2503321
Right;176,9725;177,7473;0,774765;0,7559514
Left;178,105;178,692;0,5870209;0,4939969
Right;178,8138;179,461;0,6472321;0,5614459
Left;179,6816;180,4738;0,7922058;0,4367534
Left;182,2346;182,9981;0,7635345;0,3796484
Left;184,3482;185,0158;0,6675568;0,403259
Right;189,66;190,2291;0,5691528;1,457868
Left;190,4048;191,1031;0,6983337;0,657383
Right;191,4947;191,6691;0,1743164;0,3954003
Left;194,4651;195,1402;0,6751404;0,4517923
Right;195,7143;196,167;0,4526978;0,5790652
Left;196,2608;197,0042;0,7433319;0,6328571
Right;197,0042;197,8;0,7958374;0,6524615
Left;197,8658;198,6498;0,7840118;0,6771312
Right;198,7919;199,4917;0,6998138;0,7076904
Left;199,418;200,1943;0,7762909;0,6971594
Right;200,2889;201,0219;0,7330322;0,5850937
Left;201,0739;201,8653;0,7913971;0,6431679
Left;202,9728;203,8371;0,8642883;0,7728238
Left;204,6729;205,4074;0,7344971;0,7424106
Right;205,244;206,3029;1,058929;1,927546
Left;206,2464;207,0383;0,7919159;0,5473962
Right;207,1825;207,8483;0,6657867;0,5081902
Left;208,2623;208,6036;0,341217;0,1927999


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);6,359995
(3,5);42,58078
(3,4);20,06027
(2,3);7,999993
(1,3);4,659997
(1,2);0,12
(1,1);4,079997
(2,1);0,22


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
8,547668;(4,5);3,599997
1,557297;(4,5);0,4400001
22,48997;(3,5);16,74019
11,66247;(3,5);9,080018
14,13694;(3,5);10,96006
2,387001;(3,5);0,54
2,516495;(3,5);0
26,01933;(3,4);16,8602
3,907204;(3,4);1,159999
8,183228;(2,3);3,639997
10,77789;(2,3);3,779997
1,931931;(1,3);1,739999
1,519989;(1,2);1,04
4,802902;(1,2);3,219998
3,196808;(1,2);1,239999
4,432358;(1,1);2,619998
2,257813;(1,1);0
3,027573;(3,1);0


