Areas
Area;Time spent in Area (s)
(4,5);16,21736
(3,5);16,86409
(3,4);13,23433
(2,3);9,798161
(1,3);31,23649
(1,2);7,852509
(1,1);6,691032
(2,1);25,25412
(3,1);0,03085327


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;1,318547;2,179993;0,8614457;0,7857525
Left;2,329648;3,132938;0,8032899;0,5449501
Right;4,435506;4,827176;0,3916698;0,2372726
Right;13,65225;14,1601;0,5078459;0,3279259
Left;14,4162;15,28656;0,8703566;0,7683693
Right;15,32201;16,21735;0,8953466;0,8683617
Left;16,21736;17,16775;0,9503956;0,9286299
Right;17,15618;17,63463;0,4784565;0,5580773
Left;17,86378;18,70125;0,8374653;0,6271526
Right;18,72593;19,43041;0,7044735;0,8182616
Left;19,55538;20,27732;0,7219353;0,6596197
Right;20,38051;21,20275;0,8222389;0,6448315
Left;21,36052;21,75846;0,3979416;0,1529777
Right;31,76409;32,29228;0,5281849;0,4978787
Left;32,40464;33,41021;1,005562;0,9185912
Right;33,62336;34,79052;1,167156;0,8530777
Left;34,98651;35,68599;0,699482;0,6865532
Right;36,88472;37,27618;0,3914566;0,2116544
Left;37,72647;38,22706;0,5005875;0,2683586
Right;38,75848;39,03084;0,2723579;0,2980368
Left;39,56853;40,21616;0,6476288;0,4558686
Right;40,27047;41,11229;0,8418198;0,635245
Left;41,2695;41,86286;0,5933571;0,4432366
Right;42,28499;42,98193;0,6969376;0,4382684
Left;43,46916;44,1541;0,6849403;0,606189
Right;44,10094;44,74256;0,641613;0,521681
Right;49,10198;49,59227;0,490284;0,1618696
Left;49,70768;50,34154;0,6338654;0,5111123
Right;51,84653;52,42851;0,5819817;0,5087921
Left;52,44001;53,30084;0,8608322;0,6709343
Right;53,51175;54,23376;0,7220116;0,6897334
Left;54,25822;55,17385;0,9156303;0,9066039
Right;55,2018;56,15507;0,9532661;0,8099892
Left;56,22314;56,88969;0,6665421;0,5846191
Left;58,21236;58,62971;0,4173508;0,140406
Right;58,70995;59,38854;0,6785927;0,5532517
Left;59,60706;60,07377;0,4667168;0,2784492
Left;60,48195;61,02069;0,5387383;0,3198389
Right;61,36567;61,92353;0,5578651;0,4269066
Left;62,19898;63,07176;0,8727837;0,6703459
Right;63,08696;63,69804;0,6110725;0,468794
Left;64,30787;64,91418;0,6063156;0,4108943
Right;64,95943;65,6219;0,662468;0,5996802
Left;65,90431;66,66619;0,761879;0,5899572
Right;66,68123;67,30735;0,6261215;0,5280293
Left;67,29348;68,01127;0,7177887;0,179158
Right;81,90702;82,39639;0,4893723;0,2573639
Left;82,48392;83,03917;0,5552521;0,3421873
Right;90,65321;91,53489;0,8816833;0,3661382
Left;91,31418;92,07017;0,7559891;0,773374
Right;92,42264;93,16151;0,7388687;0,5228611
Left;93,35681;93,79994;0,4431305;0,5329783
Right;93,72089;94,57454;0,853653;0,673933
Left;94,66702;95,14855;0,4815292;0,4033698
Right;95,30602;95,77588;0,4698563;0,223929
Left;95,65778;96,34267;0,6848907;0,1648608
Right;98,02283;98,39886;0,37603;0,2174021
Left;98,50123;99,48327;0,9820404;0,9697278
Right;99,46829;100,1936;0,7253494;0,7668691
Left;100,2814;100,8559;0,5745392;0,5149542
Right;101,3538;102,1353;0,7815094;0,114897
Right;105,2329;105,8042;0,5712433;0,4311394
Right;106,7265;107,3679;0,6414566;0,3845619
Left;107,4391;108,2316;0,7925797;0,9669079
Right;108,0903;108,8204;0,7301102;0,6662188
Left;110,4343;110,9002;0,465889;0,2009199
Right;111,1669;111,8747;0,7078476;0,6342055
Left;112,0649;112,8073;0,7423935;0,5029154
Right;112,7907;113,4112;0,6204453;0,4977
Left;113,5945;114,3803;0,78582;0,5701224
Right;114,2677;115,0684;0,8006897;0,8197977
Left;115,1272;116,1475;1,020317;0,6758882
Right;116,215;116,9967;0,7816849;0,6925496
Left;117,0117;117,6203;0,6085892;0,5853534
Left;119,1963;119,7402;0,5439606;0,2768396
Right;120,2726;120,8934;0,6208344;0,3189801
Right;124,2935;124,8638;0,5703201;0,5105091
Left;124,9108;125,3738;0,4630356;0,2066302
Left;137,3851;138,1602;0,7750549;0,5837238
Right;138,1449;139,0165;0,8715515;0,8625956
Left;138,9681;139,8196;0,8515015;0,8784361
Right;139,7547;140,5101;0,7553253;0,6780121


Landmarks
Area;Time spent looking at landmarks (s)
(4,5);3,219998
(3,5);2,139999
(3,4);0,8999997
(2,3);1,1
(1,3);12,4601
(1,2);4,919996
(1,1);3,059998
(2,1);11,42007


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)
8,614038;(4,5);1,639999
9,802979;(3,5);0,52
4,136005;(3,4);1,319999
13,69114;(1,3);2,539998
7,402664;(1,3);5,759995
2,895348;(1,2);1,679999
3,198639;(2,1);1,939999
11,80142;(2,1);4,419997


