Areas
Area;Time spent in Area (s)
(1,5);1,778455
(2,5);1,553998
(2,4);2,177023
(3,3);2,101516
(4,3);1,776841
(4,2);0,8605175
(3,2);1,848065
(2,2);1,680109
(2,1);4,792739


Steps
Foot;Start time (s);End time (s);Duration (s);Length (m)
Right;0,563968;0,9617562;0,3977882;0,1855164
Left;0,9194749;1,481944;0,5624692;1,179133
Right;1,377845;2,173203;0,7953584;1,408503
Left;2,129375;2,739203;0,609828;1,321816
Right;2,599046;3,318578;0,7195315;1,146846
Left;3,362279;3,944165;0,5818868;1,367467
Right;3,823362;4,548619;0,7252564;1,424186
Left;4,529382;5,077934;0,548552;1,442854
Right;4,967842;5,698176;0,7303348;1,443192
Left;5,572258;6,219938;0,6476798;1,372732
Right;6,078755;6,818312;0,7395568;1,462751
Left;6,838981;7,347546;0,5085645;1,354786
Right;7,23088;7,92563;0,6947498;1,384675
Left;7,849903;8,48484;0,6349378;1,410873
Right;8,358457;9,059966;0,7015095;1,388949
Left;9,037363;9,576393;0,5390301;1,292421
Right;9,445071;10,18693;0,7418633;1,110235
Left;10,19661;10,73584;0,5392342;1,374989
Right;10,59662;11,42191;0,8252916;1,238904
Left;11,27972;11,93806;0,6583405;1,243277
Right;11,74522;12,45071;0,7054901;1,268354
Left;12,40571;13,0083;0,6025944;1,440885
Right;12,86921;13,57554;0,7063293;1,491191
Left;13,56447;14,11129;0,5468254;1,492691
Right;13,92664;14,67006;0,7434225;1,460387
Left;14,61101;15,17468;0,563673;1,337051
Right;15,01638;15,78745;0,7710762;1,447833
Left;15,69121;16,33657;0,6453571;1,403304
Right;16,20008;16,88269;0,6826038;1,400233
Left;16,88268;17,44669;0,5640049;1,325853
Right;17,32273;18,10858;0,7858505;1,224008
Left;18,15077;18,77471;0,6239433;1,138082
Right;18,72714;19,65251;0,9253712;1,007138


Landmarks
Area;Time spent looking at landmarks (s)
(1,5);0,38
(2,5);0
(2,4);0
(3,3);0
(4,3);0,14
(4,2);0,12
(3,2);0
(2,2);0


Errors
Walked path;Duration (s);Distance walked (m)


Pauses
Duration (s);Area;Time spent looking at landmarks (s)


